XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/card/port,NULL,name,True,False,str,AUX-1
ioa-network-element:ne/equipment/card/port,NULL,alias-name,False,False,str,
ioa-network-element:ne/equipment/card/port,NULL,AID,False,False,str,1-1-AUX-1
ioa-network-element:ne/equipment/card/port,NULL,admin-state,False,False,str,lock
ioa-network-element:ne/equipment/card/port,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/equipment/card/port,NULL,avail-state,False,False,str,faulted manual automatic out-of-service
ioa-network-element:ne/equipment/card/port,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/equipment/card/port,NULL,label,False,False,str,
ioa-network-element:ne/equipment/card/port,NULL,port-type,False,False,str,comm
ioa-network-element:ne/equipment/card/port,NULL,hosted-interface,False,False,str,/ioa-ne:ne/system/networking/interface[if-name='1-AUX-1']
ioa-network-element:ne/equipment/card/port,NULL,connected-to,False,False,str,
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,auto-negotiation,False,False,str,enabled
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,mtu,False,False,int,1500
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,operational-duplex-mode,False,False,str,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,operational-rate,False,False,str,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,operational-flow-control,False,False,str,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,redundancy-state,False,False,str,active
ioa-network-element:ne/equipment/card/port/comm-eth,NULL,mac-address,False,False,str,00:75:af:97:fb:1b
