XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/odu,NULL,name,True,True,str,lowerODU1
ioa-network-element:ne/facilities/odu,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/odu,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/odu,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/optical-carrier[name='1-6-L1-1']
ioa-network-element:ne/facilities/odu,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/odu,NULL,AID,False,False,str,1-6-L1-1-ODU4i-1
ioa-network-element:ne/facilities/odu,NULL,label,False,False,str,default
ioa-network-element:ne/facilities/odu,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/odu,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/odu,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/odu,NULL,managed-by,False,False,str,user
ioa-network-element:ne/facilities/odu,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/odu,NULL,parent-odu,False,True,str,1-6-L1-1-ODUCni
ioa-network-element:ne/facilities/odu,NULL,odu-type,False,True,str,ODU4i
ioa-network-element:ne/facilities/odu,NULL,rate,False,False,str,100.000
ioa-network-element:ne/facilities/odu,NULL,odu-name,False,False,str,ODU4i-1
ioa-network-element:ne/facilities/odu,NULL,class,False,False,str,low-order
ioa-network-element:ne/facilities/odu,NULL,service-mode,False,False,str,adaptation
ioa-network-element:ne/facilities/odu,NULL,service-mode-qualifier,False,False,str,none
ioa-network-element:ne/facilities/odu,NULL,time-slots,False,True,str,1..80
ioa-network-element:ne/facilities/odu,NULL,instance-id,False,False,int,1
ioa-network-element:ne/facilities/odu,NULL,circuit-id,False,False,str,2023-01-04T22:54:44Z|GX|1-6-T1
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,direction,False,False,str,ingress
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,monitoring-mode,False,False,str,intrusive
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,tti-style,False,False,str,ITU-T-G709
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,tti-mismatch-alarm-reporting,False,False,str,disabled
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,expected-sapi,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,expected-dapi,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,expected-operator,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,tx-sapi,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,tx-dapi,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,tx-operator,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,rx-sapi-hex,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,rx-dapi-hex,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,rx-operator-hex,False,False,str,IGNORE
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,degrade-interval,False,False,int,7
ioa-network-element:ne/facilities/odu/odu-diagnostics,NULL,degrade-threshold,False,False,int,30
