XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/card,card.name[1-1],name,True,True,str,1-1
ioa-network-element:ne/equipment/card,card.name[1-1],required-type,False,True,str,gx:XMM4
ioa-network-element:ne/equipment/card,card.name[1-1],category,False,False,str,controller
ioa-network-element:ne/equipment/card,card.name[1-1],chassis-name,False,True,str,1
ioa-network-element:ne/equipment/card,card.name[1-1],slot-name,False,True,str,1
ioa-network-element:ne/equipment/card,card.name[1-1],max-power-draw,False,False,str,58.80
ioa-network-element:ne/equipment/card,card.name[1-1],last-reboot-reason,False,False,str,Coldboot
ioa-network-element:ne/equipment/card,card.name[1-1],alias-name,False,False,str,
ioa-network-element:ne/equipment/card,card.name[1-1],AID,False,False,str,1-1
ioa-network-element:ne/equipment/card,card.name[1-1],admin-state,False,False,str,unlock
ioa-network-element:ne/equipment/card,card.name[1-1],oper-state,False,False,str,enabled
ioa-network-element:ne/equipment/card,card.name[1-1],avail-state,False,False,str,normal in-service
ioa-network-element:ne/equipment/card,card.name[1-1],alarm-report-control,False,False,str,allowed
ioa-network-element:ne/equipment/card,card.name[1-1],label,False,False,str,
ioa-network-element:ne/equipment/card/console,card.name[1-1],baud-rate,False,False,str,115200
ioa-network-element:ne/equipment/card/console,card.name[1-1],actual-baud-rate,False,False,str,115200
ioa-network-element:ne/equipment/card/console,card.name[1-1],local-switch,False,False,str,use-global-switch
ioa-network-element:ne/equipment/card/console,card.name[1-1],status,False,False,str,enabled
ioa-network-element:ne/equipment/card/controller-card,card.name[1-1],redundancy-status,False,False,str,active
ioa-network-element:ne/equipment/card/controller-card,card.name[1-1],number-of-switchover-events,False,False,int,0
ioa-network-element:ne/equipment/card/controller-card,card.name[1-1],time-of-last-switchover,False,False,str,never
