XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/security/aaa-server,NULL,server-name,True,True,unknown,unknown
ioa-network-element:ne/system/security/aaa-server,NULL,server-priority,False,True,int,unknown
ioa-network-element:ne/system/security/aaa-server,NULL,protocol-supported,False,True,str,unknown
ioa-network-element:ne/system/security/aaa-server,NULL,server-address,False,True,str,unknown
ioa-network-element:ne/system/security/aaa-server,NULL,server-port,False,True,int,49
ioa-network-element:ne/system/security/aaa-server,NULL,server-port-authentication,False,True,int,1812
ioa-network-element:ne/system/security/aaa-server,NULL,server-port-accounting,False,True,int,1813
ioa-network-element:ne/system/security/aaa-server,NULL,shared-secret,False,True,str,sharedkey
ioa-network-element:ne/system/security/aaa-server,NULL,role-supported,False,True,str,authentication authorization accounting
ioa-network-element:ne/system/security/aaa-server,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/security/aaa-server,NULL,timeout,False,True,int,5
ioa-network-element:ne/system/security/aaa-server,NULL,retry,False,True,int,3
ioa-network-element:ne/system/security/aaa-server,NULL,source-ip,False,True,str,auto
ioa-network-element:ne/system/security/aaa-server,NULL,common-password,False,True,str,unknown
