XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/chassis,NULL,name,True,True,str,1
ioa-network-element:ne/equipment/chassis,NULL,is-node-controller,False,False,bool,False
ioa-network-element:ne/equipment/chassis,NULL,required-type,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,chassis-location,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,rack-name,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,position-in-rack,False,True,int,1
ioa-network-element:ne/equipment/chassis,NULL,expected-pem-type,False,True,str,DC
ioa-network-element:ne/equipment/chassis,NULL,expected-fan-type,False,True,str,counter-rotating
ioa-network-element:ne/equipment/chassis,NULL,pem-under-voltage-threshold,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,pem-over-voltage-threshold,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,available-power,False,False,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,configured-max-power-draw,False,True,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,current-estimated-power-draw,False,False,str,unknown
ioa-network-element:ne/equipment/chassis,NULL,configured-ambient-temperature,False,True,int,0
ioa-network-element:ne/equipment/chassis,NULL,power-redundancy,False,True,str,one-plus-one
ioa-network-element:ne/equipment/chassis,NULL,no-switchover,False,True,str,disabled
ioa-network-element:ne/equipment/chassis,NULL,active-controller-slot,False,False,str,none
