XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/comm-channel,NULL,name,True,False,str,acl1
ioa-network-element:ne/facilities/comm-channel,NULL,supporting-card,False,False,str,acl1
ioa-network-element:ne/facilities/comm-channel,NULL,supporting-port,False,True,str,ipv4
ioa-network-element:ne/facilities/comm-channel,NULL,supporting-facilities,False,True,str,unknown
ioa-network-element:ne/facilities/comm-channel,NULL,supported-facilities,False,True,str,unknown
ioa-network-element:ne/facilities/comm-channel,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/comm-channel,NULL,label,False,False,str,none
ioa-network-element:ne/facilities/comm-channel,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/comm-channel,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/comm-channel,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/comm-channel,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/comm-channel,NULL,type,False,False,str,OFEC-CC
ioa-network-element:ne/facilities/comm-channel,NULL,bandwidth,False,False,str,104.45
ioa-network-element:ne/facilities/comm-channel,NULL,mtu,False,False,int,1500
