XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/database,NULL,database-type,True,True,str,unknown
ioa-network-element:ne/system/database,NULL,database-state,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,database-version,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,database-vendor,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,database-product,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,ne-name,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,node-controller-serial-number,False,True,str,unknown
ioa-network-element:ne/system/database,NULL,loopback-ipv4,False,True,unknown,unknown
ioa-network-element:ne/system/database,NULL,loopback-ipv6,False,True,unknown,unknown
ioa-network-element:ne/system/database,NULL,backup-time,False,True,unknown,unknown
ioa-network-element:ne/system/database,NULL,description,False,True,str,unknown
