XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/eth-zr,NULL,name,True,True,str,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,supporting-card,False,False,str,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/eth-zr,NULL,supporting-port,False,True,list,[]
ioa-network-element:ne/facilities/eth-zr,NULL,supporting-facilities,False,True,list,[]
ioa-network-element:ne/facilities/eth-zr,NULL,supported-facilities,False,True,list,[]
ioa-network-element:ne/facilities/eth-zr,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/eth-zr,NULL,label,False,False,str,
ioa-network-element:ne/facilities/eth-zr,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/eth-zr,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/eth-zr,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/eth-zr,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/facilities/eth-zr,NULL,loopback,False,True,str,none
ioa-network-element:ne/facilities/eth-zr,NULL,carriers,False,True,list,[]
ioa-network-element:ne/facilities/eth-zr,NULL,rate,False,True,str,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,modulation-format,False,True,str,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,fec-type,False,True,str,ofec
ioa-network-element:ne/facilities/eth-zr,NULL,total-time-slots,False,False,int,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,available-time-slots,False,False,str,unknown
ioa-network-element:ne/facilities/eth-zr,NULL,fdd-threshold,False,True,str,0.0195
ioa-network-element:ne/facilities/eth-zr,NULL,fed-threshold,False,True,str,0.0206
