XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/ethernet,NULL,name,True,False,str,1-6-T1
ioa-network-element:ne/facilities/ethernet,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/ethernet,NULL,supporting-port,False,False,str,T1
ioa-network-element:ne/facilities/ethernet,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/trib-ptp[name='1-6-T1']
ioa-network-element:ne/facilities/ethernet,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/ethernet,NULL,AID,False,False,str,1-6-T1
ioa-network-element:ne/facilities/ethernet,NULL,label,False,False,str,none
ioa-network-element:ne/facilities/ethernet,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/ethernet,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/ethernet,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/ethernet,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/ethernet,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/ethernet,NULL,client-type,False,False,str,ioa-ethernet:ETHERNET-100GBASE-R
ioa-network-element:ne/facilities/ethernet,NULL,service-mode,False,False,str,transport
ioa-network-element:ne/facilities/ethernet,NULL,service-mode-qualifier,False,False,str,none
ioa-network-element:ne/facilities/ethernet,NULL,speed,False,False,str,100.000
ioa-network-element:ne/facilities/ethernet,NULL,fec-ability,False,False,str,supported
ioa-network-element:ne/facilities/ethernet,NULL,fec-mode,False,False,str,disabled
ioa-network-element:ne/facilities/ethernet,NULL,loopback,False,True,str,none
ioa-network-element:ne/facilities/ethernet,NULL,test-signal-type,False,False,str,none
ioa-network-element:ne/facilities/ethernet,NULL,test-signal-direction,False,False,str,ingress
ioa-network-element:ne/facilities/ethernet,NULL,test-signal-monitoring,False,False,bool,False
ioa-network-element:ne/facilities/ethernet,NULL,lldp-admin-status,False,False,str,disabled
ioa-network-element:ne/facilities/ethernet,NULL,circuit-id,False,False,str,2023-01-04T22:54:44Z|GX|1-6-T1
