XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/flexo-group,NULL,name,True,False,str,flexgroup1
ioa-network-element:ne/facilities/flexo-group,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/flexo-group,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/flexo-group,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/optical-carrier[name='1-6-L1-1']
ioa-network-element:ne/facilities/flexo-group,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/flexo-group,NULL,AID,False,False,str,1-6-L1-1-ODU4i-1
ioa-network-element:ne/facilities/flexo-group,NULL,label,False,False,str,
ioa-network-element:ne/facilities/flexo-group,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/flexo-group,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/flexo-group,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/flexo-group,NULL,managed-by,False,False,str,user
ioa-network-element:ne/facilities/flexo-group,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/flexo-group,NULL,carriers,False,False,list,[]
ioa-network-element:ne/facilities/flexo-group,NULL,rate,False,True,str,100.000
ioa-network-element:ne/facilities/flexo-group,NULL,modulation-format,False,True,str,ODU4i-1
ioa-network-element:ne/facilities/flexo-group,NULL,fec-type,False,False,str,ofec
ioa-network-element:ne/facilities/flexo-group,NULL,group-id,False,False,str,adaptation
