XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/flexo,NULL,name,True,False,str,flex1
ioa-network-element:ne/facilities/flexo,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/flexo,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/flexo,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/optical-carrier[name='1-6-L1-1']
ioa-network-element:ne/facilities/flexo,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/flexo,NULL,AID,False,False,str,1-6-L1-1-ODU4i-1
ioa-network-element:ne/facilities/flexo,NULL,label,False,True,str,none
ioa-network-element:ne/facilities/flexo,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/flexo,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/flexo,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/flexo,NULL,managed-by,False,False,str,user
ioa-network-element:ne/facilities/flexo,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/flexo,NULL,iid,False,True,int,0
ioa-network-element:ne/facilities/flexo,NULL,foic-type,False,False,str,foic4.8
ioa-network-element:ne/facilities/flexo,NULL,fec-type,False,False,str,ofec
ioa-network-element:ne/facilities/flexo,NULL,accepted-group-id,False,False,int,0
ioa-network-element:ne/facilities/flexo,NULL,accepted-iid,False,False,int,0
