XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/topology/inci,NULL,inci-enabled,False,True,bool,False
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,neighbor-id,True,True,str,unknown
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,neighbor-address,False,True,str,unknown
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,neighbor-port,False,False,int,8800
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,connection-status,False,False,str,not-connected
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,configured-node-name,False,True,str,unknown
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,discovered-node-name,False,False,str,unknown
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,discovered-node-id,False,False,str,unknown
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/topology/inci/inci-neighbor,NULL,label,False,True,str,unknown
