XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/line-ptp,NULL,name,False,False,str,ptp1
ioa-network-element:ne/facilities/line-ptp,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/line-ptp,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/line-ptp,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/optical-carrier[name='1-6-L1-1']
ioa-network-element:ne/facilities/line-ptp,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/line-ptp,NULL,AID,False,False,str,1-6-L1-1-ODU4i-1
ioa-network-element:ne/facilities/line-ptp,NULL,label,False,False,str,
ioa-network-element:ne/facilities/line-ptp,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/line-ptp,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/line-ptp,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/line-ptp,NULL,managed-by,False,False,str,user
ioa-network-element:ne/facilities/line-ptp,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/line-ptp,NULL,service-type,False,False,str,not-applicable
ioa-network-element:ne/facilities/line-ptp,NULL,line-system-mode,False,False,str,openwave
