XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/topology/lldp,NULL,hold-on-timer,False,True,int,900
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,lldp-port,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,direction,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,chassis-id-subtype,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,chassis-id,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,port-id-subtype,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,port-id,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,port-description,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,system-name,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,system-description,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,supported-capabilities,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,enabled-capabilities,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor,NULL,ttl,False,True,int,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/management-address,lldp-neighbor.lldp-port=unknown,address-subtype,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/management-address,lldp-neighbor.lldp-port=unknown,address,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/management-address,lldp-neighbor.lldp-port=unknown,if-subtype,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/management-address,lldp-neighbor.lldp-port=unknown,if-id,False,True,int,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/management-address,lldp-neighbor.lldp-port=unknown,address-oid,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/custom-tlv,lldp-neighbor.lldp-port=unknown,oui,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/custom-tlv,lldp-neighbor.lldp-port=unknown,subtype,False,True,int,unknown
ioa-network-element:ne/topology/lldp/lldp-neighbor/custom-tlv,lldp-neighbor.lldp-port=unknown,value,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,lldp-port,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,direction,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,last-change-time,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,last-clear-time,False,True,str,0000-01-01T00:00:00Z
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-ageouts,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-discarded-frames,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,error-frames,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-frames-in,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-frames-out,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-discarded-tlvs,False,True,str,unknown
ioa-network-element:ne/topology/lldp/lldp-port-statistics,NULL,total-unrecognized-tlvs,False,True,str,unknown
