XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne,NULL,ne-id,False,False,str,GXABCDEFGH0
ioa-network-element:ne,NULL,ne-name,False,False,str,GX
ioa-network-element:ne,NULL,label,False,False,str,
ioa-network-element:ne,NULL,ne-type,False,False,str,G40
ioa-network-element:ne,NULL,ne-vendor,False,False,str,Infinera
ioa-network-element:ne,NULL,ne-site,False,False,str,
ioa-network-element:ne,NULL,ne-location,False,False,str,
ioa-network-element:ne,NULL,ne-sub-location,False,False,str,
ioa-network-element:ne,NULL,clli,False,False,str,
ioa-network-element:ne,NULL,node-controller-chassis-name,False,False,str,1
ioa-network-element:ne,NULL,altitude,False,False,int,0
ioa-network-element:ne,NULL,latitude,False,False,str,0.0000000000000000
ioa-network-element:ne,NULL,longitude,False,False,str,0.0000000000000000
ioa-network-element:ne,NULL,equipment-discovery-ready,False,False,bool,True
ioa-network-element:ne,NULL,alarm-report-ready,False,False,bool,True
ioa-network-element:ne,NULL,contact,False,False,str,
ioa-network-element:ne,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne,NULL,alarm-report-control,False,False,str,allowed
