XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/networking/access-control-list/acl,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/system/networking/access-control-list/acl,NULL,type,False,True,str,unknown
ioa-network-element:ne/system/networking/access-control-list/acl,NULL,interface,False,True,str,unknown
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,sequence-id,True,True,int,unknown
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,direction,False,True,str,input
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,logging-action,False,True,bool,False
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,source-ip-address,False,True,str,any
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,source-lower-port,False,True,int,0
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,source-upper-port,False,True,int,0
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,destination-ip-address,False,True,str,any
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,destination-lower-port,False,True,int,0
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,destination-upper-port,False,True,int,0
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,ttl,False,True,str,any
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,action,False,True,str,drop
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,protocol,False,True,str,any
ioa-network-element:ne/system/networking/access-control-list/acl/ace,acl.name=unknown,label,False,True,str,unknown
