XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/ntp,NULL,ntp-enabled,False,True,bool,True
ioa-network-element:ne/system/ntp,NULL,ntp-auth-enabled,False,True,bool,False
ioa-network-element:ne/system/ntp,NULL,ntp-active-server,False,False,str,unknown
ioa-network-element:ne/system/ntp/ntp-key,NULL,key-id,True,True,int,0
ioa-network-element:ne/system/ntp/ntp-key,NULL,key-type,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-key,NULL,key-value,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-key,NULL,is-trusted,False,True,bool,False
ioa-network-element:ne/system/ntp/ntp-server,NULL,ip-address,True,True,unknown,unknown
ioa-network-element:ne/system/ntp/ntp-server,NULL,origin,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server,NULL,auth-key-id,False,True,unknown,not-applicable
ioa-network-element:ne/system/ntp/ntp-server,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,refid,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,stratum,False,True,int,0
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,type,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,when,False,True,int,0
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,poll,False,True,int,0
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,reach,False,True,int,0
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,delay,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,offset,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,jitter,False,True,str,unknown
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,auth-status,False,True,str,none
ioa-network-element:ne/system/ntp/ntp-server/ntp-server-status,ntp-server.ip-address=unknown,condition,False,True,str,unknown
