XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/oc,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/facilities/oc,NULL,supporting-card,False,False,str,unknown
ioa-network-element:ne/facilities/oc,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/oc,NULL,supporting-port,False,True,list,[]
ioa-network-element:ne/facilities/oc,NULL,supporting-facilities,False,True,list,[]
ioa-network-element:ne/facilities/oc,NULL,supported-facilities,False,True,list,[]
ioa-network-element:ne/facilities/oc,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/oc,NULL,label,False,True,str,
ioa-network-element:ne/facilities/oc,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/oc,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/oc,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/oc,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/facilities/oc,NULL,tx-tti,False,True,str,unknown
ioa-network-element:ne/facilities/oc,NULL,rx-tti,False,False,str,unknown
ioa-network-element:ne/facilities/oc,NULL,rx-tti-hex,False,False,str,unknown
ioa-network-element:ne/facilities/oc,NULL,expected-tti,False,True,str,
ioa-network-element:ne/facilities/oc,NULL,loopback,False,True,str,none
ioa-network-element:ne/facilities/oc,NULL,loopback-mode,False,True,str,unknown
ioa-network-element:ne/facilities/oc,NULL,test-signal-type,False,True,str,none
ioa-network-element:ne/facilities/oc,NULL,test-signal-direction,False,True,str,ingress
ioa-network-element:ne/facilities/oc,NULL,test-signal-monitoring,False,True,bool,False
ioa-network-element:ne/facilities/oc,NULL,circuit-id,False,False,str,unknown
ioa-network-element:ne/facilities/oc,NULL,oc-type,False,False,str,unknown
