XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/optical-carrier,NULL,name,True,True,str,1-4-L1-1
ioa-network-element:ne/facilities/optical-carrier/advanced-parameter,optical-carrier.name=unknown,name,True,True,str,unknown
ioa-network-element:ne/facilities/optical-carrier/advanced-parameter,optical-carrier.name=unknown,value,False,True,str,unknown
ioa-network-element:ne/facilities/optical-carrier/advanced-parameter,optical-carrier.name=unknown,status,False,False,str,unknown
ioa-network-element:ne/facilities/optical-carrier/current-advanced-parameter,NULL,name,False,False,str,FFCRAvgN
ioa-network-element:ne/facilities/optical-carrier/current-advanced-parameter,NULL,value,False,False,str,[]
ioa-network-element:ne/facilities/optical-carrier,NULL,supporting-card,False,False,str,1-4
ioa-network-element:ne/facilities/optical-carrier,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/optical-carrier,NULL,supporting-facilities,False,False,str,
ioa-network-element:ne/facilities/optical-carrier,NULL,supported-facilities,False,False,str,
ioa-network-element:ne/facilities/optical-carrier,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/optical-carrier,NULL,label,False,False,str,
ioa-network-element:ne/facilities/optical-carrier,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/optical-carrier,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/optical-carrier,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/optical-carrier,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/optical-carrier,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/optical-carrier,NULL,frequency,False,True,str,191493750
ioa-network-element:ne/facilities/optical-carrier,NULL,frequency-offset,False,False,int,0
ioa-network-element:ne/facilities/optical-carrier,NULL,wavelength,False,False,str,0.000
ioa-network-element:ne/facilities/optical-carrier,NULL,tx-power,False,True,str,-6.00
ioa-network-element:ne/facilities/optical-carrier,NULL,pre-fec-q-sig-deg-threshold,False,False,str,6.00
ioa-network-element:ne/facilities/optical-carrier,NULL,pre-fec-q-sig-deg-hysteresis,False,False,str,0.5
ioa-network-element:ne/facilities/optical-carrier,NULL,carrier-type,False,False,str,ICE6
ioa-network-element:ne/facilities/optical-carrier,NULL,tx-cd,False,False,str,0.00
ioa-network-element:ne/facilities/optical-carrier,NULL,dgd-high-threshold,False,False,int,300
ioa-network-element:ne/facilities/optical-carrier,NULL,post-fec-q-sig-deg-threshold,False,False,str,18.0
ioa-network-element:ne/facilities/optical-carrier,NULL,post-fec-q-sig-deg-hysteresis,False,False,str,2.5
ioa-network-element:ne/facilities/optical-carrier,NULL,actual-rx-frequency,False,False,str,0
ioa-network-element:ne/facilities/optical-carrier,NULL,actual-frequency,False,False,str,0
ioa-network-element:ne/facilities/optical-carrier,NULL,enable-advanced-parameters,False,False,bool,False
ioa-network-element:ne/facilities/optical-carrier,NULL,sop-data-collection,False,False,str,disabled
