XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/otu,NULL,name,True,True,str,1-4-L1-1-OTUCni
ioa-network-element:ne/facilities/otu,NULL,supporting-card,False,False,str,1-4
ioa-network-element:ne/facilities/otu,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/otu,NULL,supporting-facilities,False,False,str,/ioa-ne:ne/facilities/optical-channel[name='1-4-L1-1']
ioa-network-element:ne/facilities/otu,NULL,supported-facilities,False,False,str,/ioa-ne:ne/facilities/odu[name='1-4-L1-1-ODUCni']
ioa-network-element:ne/facilities/otu,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/otu,NULL,label,False,True,str,
ioa-network-element:ne/facilities/otu,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/otu,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/otu,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/otu,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/otu,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/otu,NULL,otu-type,False,False,str,OTUCni
ioa-network-element:ne/facilities/otu,NULL,rate,False,False,str,800.000
ioa-network-element:ne/facilities/otu,NULL,otu-name,False,False,str,OTUC8i
ioa-network-element:ne/facilities/otu,NULL,service-mode,False,True,str,adaptation
ioa-network-element:ne/facilities/otu,NULL,service-mode-qualifier,False,False,str,ODUC8i
ioa-network-element:ne/facilities/otu,NULL,fec-mode,False,True,str,enabled
ioa-network-element:ne/facilities/otu,NULL,fec-generation-mode,False,True,str,enabled
ioa-network-element:ne/facilities/otu,NULL,loopback,False,True,str,none
ioa-network-element:ne/facilities/otu,NULL,circuit-id,False,True,str,CKTID
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,direction,False,False,str,ingress
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,monitoring-mode,False,False,str,intrusive
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,tti-style,False,False,str,ITU-T-G709
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,tti-mismatch-alarm-reporting,False,False,str,disabled
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,expected-sapi,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,expected-dapi,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,expected-operator,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,tx-sapi,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,tx-dapi,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,tx-operator,False,False,str,GX-1-4-L1-1-OTUCni
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,rx-sapi-hex,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,rx-dapi-hex,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,rx-operator-hex,False,False,str,
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,degrade-interval,False,False,int,7
ioa-network-element:ne/facilities/otu/otu-diagnostics,NULL,degrade-threshold,False,False,int,30
