XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,auto-negotiation,False,True,unknown,enabled
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,mtu,False,True,int,1500
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,duplex-mode,False,True,unknown,full
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,operational-duplex-mode,False,False,unknown,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,rate,False,True,unknown,maximum
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,operational-rate,False,False,unknown,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,flow-control,False,True,unknown,disabled
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,operational-flow-control,False,False,unknown,unknown
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,redundancy-state,False,False,str,none
ioa-network-element:ne/equipment/card/port/comm-eth,card.name=1-1|port.name=T1,mac-address,False,False,unknown,00:00:00:00:00:00
