XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/card/port,card.name=1-1,name,True,True,str,unknown
ioa-network-element:ne/equipment/card/port,card.name=1-1,parent-port,False,False,str,unknown
ioa-network-element:ne/equipment/card/port,card.name=1-1,hosted-interface,False,False,unknown,unknown
ioa-network-element:ne/equipment/card/port,card.name=1-1,connected-to,False,True,str,unknown
ioa-network-element:ne/equipment/card/port,card.name=1-1,subport-list,False,True,list,[]
ioa-network-element:ne/equipment/card/port/usb,card.name=1-1|port.name=T1,type,False,True,str,unknown
ioa-network-element:ne/equipment/card/port/usb,card.name=1-1|port.name=T1,present,False,True,bool,False
ioa-network-element:ne/equipment/card/port/usb,card.name=1-1|port.name=T1,available-space,False,True,unknown,unknown
ioa-network-element:ne/equipment/card/port/usb,card.name=1-1|port.name=T1,total-space,False,True,unknown,unknown
ioa-network-element:ne/equipment/card/port/usb,card.name=1-1|port.name=T1,usb-path,False,True,str,unknown
