XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/protection/protection-group,NULL,name,True,True,str,protGroup1
ioa-network-element:ne/protection/protection-group,NULL,protection-type,False,False,str,y-cable
ioa-network-element:ne/protection/protection-group,NULL,pg-state,False,False,str,no-request
ioa-network-element:ne/protection/protection-group,NULL,pg-request,False,True,str,clear
ioa-network-element:ne/protection/protection-group,NULL,switching-mode,False,False,str,unidirectional
ioa-network-element:ne/protection/protection-group,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/protection/protection-group,NULL,label,False,True,str,
ioa-network-element:ne/protection/protection-group,NULL,reversion-mode,False,True,str,non-revertive
ioa-network-element:ne/protection/protection-group,NULL,hold-off-timer,False,True,int,0
ioa-network-element:ne/protection/protection-group,NULL,wtr-timer,False,True,int,300
ioa-network-element:ne/protection/protection-group,NULL,remaining-wtr,False,False,str,0
ioa-network-element:ne/protection/protection-group,NULL,last-switch-trigger,False,False,str,clear
ioa-network-element:ne/protection/protection-group,NULL,working-pu,False,True,str,port1
ioa-network-element:ne/protection/protection-group,NULL,protection-pu,False,True,str,port2
ioa-network-element:ne/protection/protection-group,NULL,client-side-olos-trigger,False,True,str,disabled
ioa-network-element:ne/protection/protection-group,NULL,client-side-sd-trigger,False,True,str,disabled
ioa-network-element:ne/protection/protection-group,NULL,network-side-csf-trigger,False,True,str,disabled
