XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/cli,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/cli,NULL,port,False,True,unknown,22
ioa-network-element:ne/system/protocols/cli,NULL,script-dir,False,False,str,unknown
ioa-network-element:ne/system/protocols/cli,NULL,default-interactive-mode,False,True,bool,True
ioa-network-element:ne/system/protocols/cli/cli-alias,NULL,name,True,True,str,unknown
ioa-network-element:ne/system/protocols/cli/cli-alias,NULL,value,False,True,str,unknown
ioa-network-element:ne/system/protocols/cli/cli-session-config,NULL,session-id,True,True,str,unknown
ioa-network-element:ne/system/protocols/cli/cli-session-config,NULL,cli-lines,False,True,int,40
ioa-network-element:ne/system/protocols/cli/cli-session-config,NULL,cli-columns,False,True,int,140
ioa-network-element:ne/system/protocols/cli/cli-session-config,NULL,interactive-mode,False,True,bool,unknown
