XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/dial-out-server,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/system/protocols/dial-out-server,NULL,address,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/dial-out-server,NULL,protocol,False,True,str,netconf
ioa-network-element:ne/system/protocols/dial-out-server,NULL,port,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/dial-out-server,NULL,transport,False,False,str,unknown
ioa-network-element:ne/system/protocols/dial-out-server,NULL,retry-policy,False,True,str,progressive-back-off
ioa-network-element:ne/system/protocols/dial-out-server,NULL,retry,False,True,int,3
ioa-network-element:ne/system/protocols/dial-out-server,NULL,timeout,False,True,int,10
ioa-network-element:ne/system/protocols/dial-out-server,NULL,auto-connect,False,True,bool,True
ioa-network-element:ne/system/protocols/dial-out-server,NULL,connection-state,False,False,str,disabled
ioa-network-element:ne/system/protocols/dial-out-server,NULL,label,False,True,str,unknown
