XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/snmp,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/snmp,NULL,port,False,True,unknown,161
ioa-network-element:ne/system/protocols/snmp,NULL,snmp-engine-id,False,False,str,unknown
ioa-network-element:ne/system/protocols/snmp,NULL,engine-boot-count,False,False,int,0
ioa-network-element:ne/system/protocols/snmp/snmp-community,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/system/protocols/snmp/snmp-community,NULL,community-string,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/snmp/snmp-community,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/snmp/snmp-community,NULL,community-string-access,False,True,str,read-only
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,target-name,True,True,unknown,unknown
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,snmp-version,False,True,str,v2c
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,trap-community-string,False,True,unknown,infinera
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,snmpv3-user,False,True,str,unknown
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,target-address,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,target-port,False,True,unknown,162
ioa-network-element:ne/system/protocols/snmp/snmp-target,NULL,target-transport,False,True,str,udp
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,snmpv3-user-name,True,True,str,unknown
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,user-sec-level,False,True,str,no-auth-no-priv
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,auth-protocol,False,True,str,SHA
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,auth-passphrase,False,True,str,unknown
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,priv-protocol,False,True,str,AES128
ioa-network-element:ne/system/protocols/snmp/snmpv3-user,NULL,priv-passphrase,False,True,str,unknown
