XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/protocols/ssh,NULL,enabled,False,True,bool,False
ioa-network-element:ne/system/protocols/ssh,NULL,port,False,True,unknown,8022
ioa-network-element:ne/system/protocols/ssh,NULL,pre-login-message,False,True,str,unknown
ioa-network-element:ne/system/protocols/ssh,NULL,post-login-message,False,True,str,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-host-key,NULL,fingerprint-algorithm,False,True,str,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-host-key,NULL,fingerprint,False,True,str,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-known-host,NULL,id,True,True,unknown,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-known-host,NULL,address,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-authorized-key,NULL,user-name,False,True,unknown,unknown
ioa-network-element:ne/system/protocols/ssh/ssh-authorized-key,NULL,key-id,False,True,unknown,unknown
