XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/scheduled-tasks/task,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/scheduled-tasks/task,NULL,command,False,True,str,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,command-type,False,True,str,cli
ioa-network-element:ne/system/scheduled-tasks/task,NULL,frequency,False,True,unknown,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,start-time,False,True,unknown,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,end-time,False,True,unknown,never
ioa-network-element:ne/system/scheduled-tasks/task,NULL,persistent,False,True,bool,True
ioa-network-element:ne/system/scheduled-tasks/task,NULL,task-status,False,False,str,scheduled
ioa-network-element:ne/system/scheduled-tasks/task,NULL,next-run,False,False,unknown,never
ioa-network-element:ne/system/scheduled-tasks/task,NULL,previous-run,False,False,unknown,never
ioa-network-element:ne/system/scheduled-tasks/task,NULL,previous-result,False,False,str,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,previous-output,False,False,str,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/scheduled-tasks/task,NULL,alarm-report-control,False,True,str,allowed
