XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/security/ikev2,NULL,data-path-encryption-san-ike-id-match,False,True,str,match
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,host-card-encryption-capability,False,False,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,scope,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,host-card,False,False,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,started-time,False,False,unknown,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,name,True,True,unknown,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,destination,False,True,unknown,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,port,False,True,unknown,500
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,local-identity-type,False,True,unknown,id-key
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,local-identity,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,peer-identity-type,False,True,unknown,id-key
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,peer-identity,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,authentication-scheme,False,True,str,x.509-certificate
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,pre-shared-key-type,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,psk-ascii,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,psk-hex,False,True,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,psk-configured-timestamp,False,False,unknown,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,psk-lifetime,False,True,int,90
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,psk-expiration-warning,False,True,int,14
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,last-used-local-certificate,False,False,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,last-used-peer-certificate,False,False,str,unknown
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-key-frequency,False,True,int,28800
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-key-fail-policy,False,True,str,continue-traffic
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-key-traffic-kill-offset,False,True,int,0
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-auth-frequency,False,True,int,43200
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-auth-fail-policy,False,True,str,kill-traffic
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,re-auth-traffic-kill-offset,False,True,int,0
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,admin-state,False,True,str,unlock
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,oper-state,False,False,str,disabled
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,local-certificate,False,True,list,[]
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer,ikev2-local-instance.name=unknown,peer-certificate,False,True,list,[]
ioa-network-element:ne/system/security/ikev2/ikev2-local-instance/peer-authorization-database/ikev2-peer/security-policy-database,ikev2-local-instance.name=unknown|ikev2-peer.name=unknown,associated-secure-entity,False,True,list,[]
