XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/security/security-policies,NULL,secure-mode,False,True,bool,True
ioa-network-element:ne/system/security/security-policies,NULL,strict-password-check,False,True,bool,True
ioa-network-element:ne/system/security/security-policies,NULL,ssh-authentication-method,False,True,str,password
ioa-network-element:ne/system/security/security-policies,NULL,enforce-password-history-check,False,True,bool,True
ioa-network-element:ne/system/security/security-policies,NULL,aaa-authentication-method,False,True,str,local-only
ioa-network-element:ne/system/security/security-policies,NULL,aaa-authorization-method,False,True,str,local-only
ioa-network-element:ne/system/security/security-policies,NULL,ssh-strict-host-key-checking,False,True,str,relaxed
ioa-network-element:ne/system/security/security-policies,NULL,root-password,False,True,unknown,unknown
ioa-network-element:ne/system/security/security-policies,NULL,console-user-password,False,True,unknown,unknown
ioa-network-element:ne/system/security/security-policies,NULL,csp-symmetrical-key,False,True,unknown,unknown
ioa-network-element:ne/system/security/security-policies,NULL,max-system-sessions,False,False,int,unknown
ioa-network-element:ne/system/security/security-policies,NULL,max-local-users,False,False,int,unknown
ioa-network-element:ne/system/security/security-policies,NULL,disable-user-lockout,False,True,bool,False
ioa-network-element:ne/system/security/security-policies,NULL,default-user-group,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,ssh-ciphers,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,ssh-macs,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,ssh-key-exchanges,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,ssh-host-key-algorithms,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,ssh-public-key-algorithms,False,True,list,[]
ioa-network-element:ne/system/security/security-policies,NULL,db-passphrase,False,True,unknown,unknown
