XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/syslog,NULL,remote-logging-switch,False,True,bool,True
ioa-network-element:ne/system/syslog,NULL,source-address,False,True,unknown,localhost
ioa-network-element:ne/system/syslog,NULL,log-file-message-coalescence,False,True,bool,True
ioa-network-element:ne/system/syslog,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/syslog,NULL,label,False,True,str,unknown
ioa-network-element:ne/system/syslog/log-server,NULL,name,True,True,str,unknown
ioa-network-element:ne/system/syslog/log-server,NULL,address,False,True,unknown,unknown
ioa-network-element:ne/system/syslog/log-server,NULL,transport,False,True,str,udp
ioa-network-element:ne/system/syslog/log-server,NULL,port,False,True,unknown,514
ioa-network-element:ne/system/syslog/log-server,NULL,destination-facility-override,False,True,unknown,disabled
ioa-network-element:ne/system/syslog/log-server,NULL,pattern-match,False,True,str,unknown
ioa-network-element:ne/system/syslog/log-server,NULL,message-coalescence,False,True,bool,True
ioa-network-element:ne/system/syslog/log-server,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/syslog/log-server,NULL,message-format,False,True,str,rfc5424
ioa-network-element:ne/system/syslog/log-server,NULL,origin,False,True,str,manual
ioa-network-element:ne/system/syslog/log-file,NULL,name,True,True,str,unknown
ioa-network-element:ne/system/syslog/log-file,NULL,number-of-files,False,True,int,10
ioa-network-element:ne/system/syslog/log-file,NULL,max-file-size,False,True,int,30
ioa-network-element:ne/system/syslog/log-file,NULL,pattern-match,False,True,str,unknown
ioa-network-element:ne/system/syslog/log-console,NULL,enabled,False,True,bool,False
