XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/security/user,NULL,user-name,True,True,unknown,unknown
ioa-network-element:ne/system/security/user,NULL,password,False,True,unknown,unknown
ioa-network-element:ne/system/security/user,NULL,password-hashed,False,True,str,unknown
ioa-network-element:ne/system/security/user,NULL,display-name,False,True,str,unknown
ioa-network-element:ne/system/security/user,NULL,max-invalid-login,False,True,int,5
ioa-network-element:ne/system/security/user,NULL,suspension-time,False,True,int,5
ioa-network-element:ne/system/security/user,NULL,timeout,False,True,int,60
ioa-network-element:ne/system/security/user,NULL,password-aging-interval,False,True,int,90
ioa-network-element:ne/system/security/user,NULL,password-expiration-date,False,False,unknown,unknown
ioa-network-element:ne/system/security/user,NULL,enabled,False,True,bool,True
ioa-network-element:ne/system/security/user,NULL,user-status,False,False,str,disabled
ioa-network-element:ne/system/security/user,NULL,force-password-change,False,True,bool,False
ioa-network-element:ne/system/security/user,NULL,max-sessions,False,True,int,10
ioa-network-element:ne/system/security/user,NULL,last-login-date,False,False,unknown,1970-01-01T00:00:00Z
ioa-network-element:ne/system/security/user,NULL,failed-logins,False,False,int,0
ioa-network-element:ne/system/security/user,NULL,user-aaa-type,False,False,str,local
ioa-network-element:ne/system/security/user,NULL,user-group,False,True,list,[]
ioa-network-element:ne/system/security/user,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/system/security/user,NULL,label,False,True,str,unknown
