XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/stm,NULL,name,True,True,unknown,unknown
ioa-network-element:ne/facilities/stm,NULL,supporting-card,False,False,str,unknown
ioa-network-element:ne/facilities/stm,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/stm,NULL,supporting-port,False,True,list,[]
ioa-network-element:ne/facilities/stm,NULL,supporting-facilities,False,True,list,[]
ioa-network-element:ne/facilities/stm,NULL,supported-facilities,False,True,list,[]
ioa-network-element:ne/facilities/stm,NULL,AID,False,False,str,1-4-L1-1
ioa-network-element:ne/facilities/stm,NULL,label,False,True,str,
ioa-network-element:ne/facilities/stm,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/stm,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/stm,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/stm,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/facilities/stm,NULL,tx-tti,False,True,unknown,unknown
ioa-network-element:ne/facilities/stm,NULL,rx-tti,False,False,unknown,unknown
ioa-network-element:ne/facilities/stm,NULL,rx-tti-hex,False,False,unknown,unknown
ioa-network-element:ne/facilities/stm,NULL,expected-tti,False,True,unknown,
ioa-network-element:ne/facilities/stm,NULL,loopback,False,True,str,none
ioa-network-element:ne/facilities/stm,NULL,loopback-mode,False,True,str,unknown
ioa-network-element:ne/facilities/stm,NULL,test-signal-type,False,True,str,none
ioa-network-element:ne/facilities/stm,NULL,test-signal-direction,False,True,unknown,ingress
ioa-network-element:ne/facilities/stm,NULL,test-signal-monitoring,False,True,bool,False
ioa-network-element:ne/facilities/stm,NULL,circuit-id,False,False,str,unknown
ioa-network-element:ne/facilities/stm,NULL,stm-type,False,False,str,unknown
