XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/super-channel-group,NULL,name,False,True,str,1-4-L1
ioa-network-element:ne/facilities/super-channel-group,NULL,supporting-card,False,False,str,1-4
ioa-network-element:ne/facilities/super-channel-group,NULL,supporting-port,False,True,str,L1
ioa-network-element:ne/facilities/super-channel-group,NULL,supporting-facilities,False,True,list,[]
ioa-network-element:ne/facilities/super-channel-group,NULL,supported-facilities,False,True,str,/ioa-ne:ne/facilities/optical-carrier[name='1-4-L1-1']
ioa-network-element:ne/facilities/super-channel-group,NULL,AID,False,False,str,1-4-L1
ioa-network-element:ne/facilities/super-channel-group,NULL,label,False,True,str,
ioa-network-element:ne/facilities/super-channel-group,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/super-channel-group,NULL,oper-state,False,False,str,enabled
ioa-network-element:ne/facilities/super-channel-group,NULL,avail-state,False,False,str,normal in-service
ioa-network-element:ne/facilities/super-channel-group,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/super-channel-group,NULL,auto-in-service-enabled,False,True,bool,False
ioa-network-element:ne/facilities/super-channel-group,NULL,valid-signal-time,False,False,int,480
ioa-network-element:ne/facilities/super-channel-group,NULL,remaining-valid-signal-time,False,False,int,0
ioa-network-element:ne/facilities/super-channel-group,NULL,alarm-report-control,False,True,str,allowed
ioa-network-element:ne/facilities/super-channel-group,NULL,line-system-mode,False,True,str,openwave
ioa-network-element:ne/facilities/super-channel-group,NULL,openwave-contention-check,False,True,bool,False
ioa-network-element:ne/facilities/super-channel-group,NULL,expected-total-tx-power,False,False,str,-6.00
