XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/super-channel,NULL,name,True,True,str,SCH11
ioa-network-element:ne/facilities/super-channel,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/super-channel,NULL,supporting-port,False,False,str,L1
ioa-network-element:ne/facilities/super-channel,NULL,supporting-facilities,False,False,list,[]
ioa-network-element:ne/facilities/super-channel,NULL,supported-facilities,False,False,list,[]
ioa-network-element:ne/facilities/super-channel,NULL,AID,False,False,str,1-6-L1-1
ioa-network-element:ne/facilities/super-channel,NULL,label,False,True,str,
ioa-network-element:ne/facilities/super-channel,NULL,admin-state,False,True,str,unlock
ioa-network-element:ne/facilities/super-channel,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/super-channel,NULL,avail-state,False,False,str,automatic out-of-service
ioa-network-element:ne/facilities/super-channel,NULL,managed-by,False,False,str,user
ioa-network-element:ne/facilities/super-channel,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/super-channel,NULL,carriers,False,True,list,1-6-L1-1
ioa-network-element:ne/facilities/super-channel,NULL,carrier-mode,False,True,str,800M.95P
ioa-network-element:ne/facilities/super-channel,NULL,capacity,False,False,int,800
ioa-network-element:ne/facilities/super-channel,NULL,client-mode,False,False,str,ethernet-otn
ioa-network-element:ne/facilities/super-channel,NULL,baud-rate,False,False,str,95.2965203
ioa-network-element:ne/facilities/super-channel,NULL,application,False,False,str,P
ioa-network-element:ne/facilities/super-channel,NULL,spectral-bandwidth,False,False,str,101.25255
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,remote-node-name,False,False,str,
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,remote-ne-ip,False,False,str,0.0.0.0
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,remote-end-point,False,False,str,
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,local-flow-id,False,False,int,0
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,remote-flow-id,False,False,int,0
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,dt-encapsulation,False,False,str,gre
ioa-network-element:ne/facilities/super-channel/digital-trigger-registration,NULL,last-update,False,False,str,never
