XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/sw-management/downloads/manifest,NULL,manifest-file,True,True,str,unknown
ioa-network-element:ne/system/sw-management/downloads/manifest,NULL,manifest-signature,False,True,unknown,unknown
ioa-network-element:ne/system/sw-management/downloads/manifest,NULL,downloaded-on,False,True,unknown,unknown
ioa-network-element:ne/system/sw-management/downloads/manifest,NULL,information,False,True,str,unknown
ioa-network-element:ne/system/sw-management/downloads/manifest/downloaded-image,manifest.manifest-file=unknown,name,True,True,str,unknown
ioa-network-element:ne/system/sw-management/downloads/manifest/downloaded-image,manifest.manifest-file=unknown,signature,False,True,unknown,unknown
ioa-network-element:ne/system/sw-management/software-location,NULL,location-id,True,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,app-name,True,True,unknown,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,version,False,False,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,vendor,False,False,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,product,False,False,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,label,False,False,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,state,False,False,str,running
ioa-network-element:ne/system/sw-management/third-party-app,NULL,information,False,False,str,unknown
ioa-network-element:ne/system/sw-management/third-party-app,NULL,enable,False,True,bool,True
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,fw-name,True,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,file-status,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,path,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,version,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,crc,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,vendor,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,nsa-upgrade-version,False,True,str,unknown
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,part-number,False,True,list,[]
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,present-in-eqpt,False,True,list,[]
ioa-network-element:ne/system/sw-management/third-party-fw,NULL,applicable-eqpt,False,True,list,[]
