XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/sw-services/sw-control-rule,NULL,service-name,True,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-control-rule,NULL,fail-action,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,sv-name,True,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,equipment,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,location,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,state,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,state-details,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,cpu-usage,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,memory-usage,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,uptime,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,last-start-time,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-service,NULL,reboot-count,False,True,int,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,container-name,True,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,equipment,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,state,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,description,False,True,str,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,cpu-usage,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,memory-usage,False,True,unknown,unknown
ioa-network-element:ne/system/sw-services/sw-container,NULL,uptime,False,True,str,unknown
