XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,chassis-type,False,False,str,gx:G42
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,description,False,False,str,G42 3RU chassis
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,controller-redundancy-supported,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,power-control-supported,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,depth,False,False,int,600
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,height,False,False,int,3
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,number-of-front-slots,False,False,int,7
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,number-of-rear-slots,False,False,int,12
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis,NULL,leds,False,False,list,[]
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,slot-name,False,False,str,1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,slot-location,False,False,str,front
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,slot-vertical-position,False,False,int,1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,slot-horizontal-position,False,False,int,1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,possible-card-types,False,False,str,gx:XMM4
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,configuration-mode,False,False,str,user-configured
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,auto-provision-capable,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,default-card,False,False,str,none
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,requires-blank-when-empty,False,False,str,required
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-chassis/supported-slot,NULL,reset-power,False,False,str,0.0000
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,card-type,False,False,str,gx:XMM4
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,sw-support-revision,False,False,int,1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,supported-subtype,False,False,list,[]
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,description,False,False,str,XMM4 (GX Main Module 4) - Main Controller card
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,card-width,False,False,str,single-slot
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,card-height,False,False,int,1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,is-field-replaceable,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,category,False,False,str,controller
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,max-power-draw,False,False,str,58.80
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,leds,False,False,str,active
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,location-led-support,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,console-port-support,False,False,str,yes-with-auto-sensing-baud-rate
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card,NULL,default-console-baud-rate,False,False,str,115200
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card/supported-port,NULL,port-name,False,False,str,AUX-1
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card/supported-port,NULL,port-type,False,False,str,comm
ioa-network-element:ne/system-capabilities/equipment-capabilities/supported-card/supported-port,NULL,leds,False,False,list,[]
ioa-network-element:ne/system-capabilities/equipment-capabilities/tom-type,NULL,tom-type,False,False,str,gx:QSFP28
ioa-network-element:ne/system-capabilities/equipment-capabilities/tom-type,NULL,data-rate,False,False,int,100
ioa-network-element:ne/system-capabilities/equipment-capabilities/tom-type,NULL,description,False,False,str,QSFP28 100G TOM
ioa-network-element:ne/system-capabilities/equipment-capabilities/tom-type,NULL,support-third-party-toms,False,False,bool,True
ioa-network-element:ne/system-capabilities/equipment-capabilities/tom-type,NULL,generic-subtype,False,False,str,TOM-100G-Q
ioa-network-element:ne/system-capabilities/equipment-capabilities/gadt/application-description,NULL,application,False,False,str,H
ioa-network-element:ne/system-capabilities/equipment-capabilities/gadt/application-description,NULL,application-description,False,False,str,Subsea modes using Uniform and Hybrid modulation
ioa-network-element:ne/system-capabilities/equipment-capabilities/gadt,NULL,version,False,False,str,1.0
