XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,required-type,False,True,str,gx:QSFP28
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,required-subtype,False,True,str,TOM-100GMR-Q-LR4
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,phy-mode,False,False,str,100G
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,supported-phy-modes,False,False,str,100G
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,upgrade-status,False,False,str,idle
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,alias-name,False,False,str,
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,AID,False,False,str,1-6-1
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,admin-state,False,False,str,unlock
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,oper-state,False,False,str,disabled
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,avail-state,False,False,str,supporting-faulted equipment-not-present automatic out-of-service
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/equipment/card/port/tom,card.name=1-1|port.name=T1,label,False,False,str,
