XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/system/transfer,NULL,debug-log-optional-content,False,True,list,[]
ioa-network-element:ne/system/transfer/transfer-status,NULL,filetype,False,True,unknown,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,operation,False,True,str,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,last-completion-status,False,True,str,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,last-transfer,False,True,unknown,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,last-duration,False,True,unknown,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,transfer-type,False,True,str,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,session-id,False,True,str,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,session-user-name,False,True,unknown,unknown
ioa-network-element:ne/system/transfer/transfer-status,NULL,filename,False,True,str,unknown
