XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/facilities/trib-ptp,NULL,name,True,True,str,1-6-T1
ioa-network-element:ne/facilities/trib-ptp,NULL,supporting-card,False,False,str,1-6
ioa-network-element:ne/facilities/trib-ptp,NULL,supporting-port,False,False,str,T1
ioa-network-element:ne/facilities/trib-ptp,NULL,supporting-facilities,False,False,list,[]
ioa-network-element:ne/facilities/trib-ptp,NULL,supported-facilities,False,False,str,/ioa-ne:ne/facilities/ethernet[name='1-6-T1']
ioa-network-element:ne/facilities/trib-ptp,NULL,AID,False,False,str,1-6-T1
ioa-network-element:ne/facilities/trib-ptp,NULL,label,False,False,str,
ioa-network-element:ne/facilities/trib-ptp,NULL,admin-state,False,False,str,unlock
ioa-network-element:ne/facilities/trib-ptp,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/facilities/trib-ptp,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/facilities/trib-ptp,NULL,managed-by,False,False,str,system
ioa-network-element:ne/facilities/trib-ptp,NULL,auto-in-service-enabled,False,False,bool,False
ioa-network-element:ne/facilities/trib-ptp,NULL,valid-signal-time,False,False,int,480
ioa-network-element:ne/facilities/trib-ptp,NULL,remaining-valid-signal-time,False,False,int,0
ioa-network-element:ne/facilities/trib-ptp,NULL,alarm-report-control,False,False,str,allowed
ioa-network-element:ne/facilities/trib-ptp,NULL,service-type,False,True,str,100GBE
ioa-network-element:ne/facilities/trib-ptp,NULL,tributary-disable-action,False,False,str,laser-shut-off
ioa-network-element:ne/facilities/trib-ptp,NULL,tributary-disable-holdoff-timer,False,False,int,0
ioa-network-element:ne/facilities/trib-ptp,NULL,forward-defect-trigger,False,False,bool,True
ioa-network-element:ne/facilities/trib-ptp,NULL,power-threshold-low,False,False,str,-10.60
ioa-network-element:ne/facilities/trib-ptp,NULL,power-threshold-low-offset,False,False,str,0.00
ioa-network-element:ne/facilities/trib-ptp,NULL,power-threshold-high,False,False,str,4.50
ioa-network-element:ne/facilities/trib-ptp,NULL,power-threshold-high-offset,False,False,str,0.00
ioa-network-element:ne/facilities/trib-ptp,NULL,circuit-id,False,False,str,2023-01-04T22:54:44Z|GX|1-6-T1
