XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Data_Type,Default_Value
ioa-network-element:ne/services/xcon,NULL,name,True,True,str,XCON1
ioa-network-element:ne/services/xcon,NULL,AID,False,False,str,1-6-T1
ioa-network-element:ne/services/xcon,NULL,oper-state,False,False,str,disabled
ioa-network-element:ne/services/xcon,NULL,avail-state,False,False,str,supporting-faulted automatic out-of-service
ioa-network-element:ne/services/xcon,NULL,source,False,True,str,/ioa-ne:ne/facilities/ethernet[name='1-6-T1']
ioa-network-element:ne/services/xcon,NULL,destination,False,True,str,/ioa-ne:ne/facilities/odu[name='lowerODU1']
ioa-network-element:ne/services/xcon,NULL,payload-type,False,False,str,100GBE
ioa-network-element:ne/services/xcon,NULL,direction,False,False,str,two-way
ioa-network-element:ne/services/xcon,NULL,label,False,False,str,
ioa-network-element:ne/services/xcon,NULL,circuit-id-suffix,False,True,str,CKTONE
ioa-network-element:ne/services/xcon,NULL,dst-time-slots,False,False,str,1..80
ioa-network-element:ne/services/xcon,NULL,managed-by,False,False,str,user
ioa-network-element:ne/services/xcon,NULL,payload-treatment,False,False,str,transport
ioa-network-element:ne/services/xcon,NULL,network-mapping,False,False,str,ODU4i
ioa-network-element:ne/services/xcon,NULL,type,False,False,str,add-drop
ioa-network-element:ne/services/xcon,NULL,protection-type,False,False,str,unprotected
ioa-network-element:ne/services/xcon,NULL,circuit-id,False,False,str,2023-01-04T22:54:44Z|GX|1-6-T1
ioa-network-element:ne/services/xcon,NULL,from-adaptation,False,False,str,100GBE
