XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,AUX-1-1-AUX-1
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],name,False,True,AUX-1-1-AUX-1
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],type,False,True,ethernetCsmacd
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],mtu,False,True,IOA
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],loopback-mode,False,True,IGNORE
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],description,False,True,IOA
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],enabled,False,True,true
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],name,False,False,AUX-1-1-AUX-1
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],type,False,False,ethernetCsmacd
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],mtu,False,False,IOA
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],loopback-mode,False,False,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],description,False,False,IOA
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],enabled,False,False,true
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],ifindex,False,False,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],admin-status,False,False,UP
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],oper-status,False,False,IOA
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],last-change,False,False,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],logical,False,False,false
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],hardware-port,False,False,port-1-1-AUX-1
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],transceiver,False,False,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],physical-channel,False,False,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-octets,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-unicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-broadcast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-multicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-discards,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-errors,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-unknown-protos,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-fcs-errors,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-octets,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-unicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-broadcast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-multicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-discards,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-errors,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],carrier-transitions,False,False,
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],last-clear,False,False,
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],mac-address,False,False,IOA
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],auto-negotiate,False,True,true
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],duplex-mode,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],port-speed,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],enable-flow-control,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],mac-address,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],auto-negotiate,False,False,true
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],duplex-mode,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],port-speed,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],enable-flow-control,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],hw-mac-address,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],negotiated-duplex-mode,False,False,IOA
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],negotiated-port-speed,False,False,IOA
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-oversize-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-undersize-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-jabber-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-fragment-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-8021q-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-crc-errors,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-block-errors,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],out-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],out-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],out-8021q-frames,False,False,
/interfaces/interface/hold-time/config,interface.name=[AUX-1-1-AUX-1],up,False,True,IGNORE
/interfaces/interface/hold-time/config,interface.name=[AUX-1-1-AUX-1],down,False,True,IGNORE
/interfaces/interface/hold-time/state,interface.name=[AUX-1-1-AUX-1],up,False,False,
/interfaces/interface/hold-time/state,interface.name=[AUX-1-1-AUX-1],down,False,False,
/interfaces/interface/subinterfaces/subinterface,,index,True,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[AUX-1-1-AUX-1],index,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[AUX-1-1-AUX-1],description,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[AUX-1-1-AUX-1],enabled,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[AUX-1-1-AUX-1],index,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[AUX-1-1-AUX-1],description,False,False,
