XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,TRUE,TRUE,ethernet-1-4-T5
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],name,FALSE,TRUE,ethernet-1-4-T5
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],type,FALSE,FALSE,ethernetCsmacd
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],mtu,FALSE,TRUE,1518
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],loopback-mode,FALSE,TRUE,loopback
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],description,FALSE,TRUE,IOA
/interfaces/interface/config,interface.name=[ethernet-1-4-T5],enabled,FALSE,TRUE,TRUE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],name,FALSE,FALSE,ethernet-1-4-T5
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],type,FALSE,FALSE,ethernetCsmacd
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],mtu,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],loopback-mode,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],description,FALSE,FALSE,IOA
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],enabled,FALSE,FALSE,TRUE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],ifindex,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],admin-status,FALSE,TRUE,UP
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],oper-status,FALSE,FALSE,IOA
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],last-change,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],logical,FALSE,FALSE,TRUE
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],hardware-port,FALSE,FALSE,tom-1-4-T5
/interfaces/interface/state,interface.name=[ethernet-1-4-T5],transceiver,FALSE,FALSE,tom-1-4-T5
