XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,TRUE,TRUE,AUX-1-1-AUX-1
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],name,FALSE,TRUE,AUX-1-1-AUX-1
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],type,FALSE,FALSE,ethernetCsmacd
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],mtu,FALSE,TRUE,1518
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],loopback-mode,FALSE,TRUE,IGNORE
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],description,FALSE,TRUE,Label
/interfaces/interface/config,interface.name=[AUX-1-1-AUX-1],enabled,FALSE,TRUE,TRUE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],name,FALSE,FALSE,ethernet-1-4-T5
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],type,FALSE,FALSE,ethernetCsmacd
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],mtu,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],loopback-mode,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],description,FALSE,FALSE,IOA
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],enabled,FALSE,FALSE,TRUE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],ifindex,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],admin-status,FALSE,FALSE,UP
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],oper-status,FALSE,FALSE,IOA
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],last-change,FALSE,FALSE,IGNORE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],logical,FALSE,FALSE,TRUE
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],hardware-port,FALSE,FALSE,tom-1-4-T5
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],transceiver,FALSE,FALSE,tom-1-4-T5
/interfaces/interface/state,interface.name=[AUX-1-1-AUX-1],physical-channel,FALSE,FALSE,1
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-octets,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-unicast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-broadcast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-multicast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-discards,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-errors,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-unknown-protos,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],in-fcs-errors,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-octets,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-unicast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-broadcast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-multicast-pkts,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-discards,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],out-errors,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],carrier-transitions,FALSE,FALSE,IGNORE
/interfaces/interface/state/counters,interface.name=[AUX-1-1-AUX-1],last-clear,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],mac-address,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],auto-negotiate,FALSE,TRUE,TRUE
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],duplex-mode,FALSE,TRUE,full
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],port-speed,FALSE,FALSE,10000^maximum^1000^100^10^1
/interfaces/interface/ethernet/config,interface.name=[AUX-1-1-AUX-1],enable-flow-control,FALSE,FALSE,disabled^bi-directional^egress-only^ingress^only
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],mac-address,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],auto-negotiate,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],duplex-mode,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],port-speed,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],enable-flow-control,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],hw-mac-address,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],negotiated-duplex-mode,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state,interface.name=[AUX-1-1-AUX-1],negotiated-port-speed,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-mac-control-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-mac-pause-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-oversize-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-undersize-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-jabber-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-fragment-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-8021q-frames,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-crc-errors,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],in-block-errors,FALSE,FALSE,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[AUX-1-1-AUX-1],out-mac-control-frames,FALSE,FALSE,IGNORE
