XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,super-channel-sch2
/interfaces/interface/config,interface.name=[super-channel-sch2],name,False,True,super-channel-sch2
/interfaces/interface/config,interface.name=[super-channel-sch2],type,False,True,opticalChannel
/interfaces/interface/config,interface.name=[super-channel-sch2],mtu,False,True,IGNORE
/interfaces/interface/config,interface.name=[super-channel-sch2],loopback-mode,False,True,IGNORE
/interfaces/interface/config,interface.name=[super-channel-sch2],description,False,True,IOA
/interfaces/interface/config,interface.name=[super-channel-sch2],enabled,False,True,true
/interfaces/interface/state,interface.name=[super-channel-sch2],name,False,False,super-channel-sch2
/interfaces/interface/state,interface.name=[super-channel-sch2],type,False,False,opticalChannel
/interfaces/interface/state,interface.name=[super-channel-sch2],mtu,False,False,IGNORE
/interfaces/interface/state,interface.name=[super-channel-sch2],loopback-mode,False,False,IGNORE
/interfaces/interface/state,interface.name=[super-channel-sch2],description,False,False,IOA
/interfaces/interface/state,interface.name=[super-channel-sch2],enabled,False,False,true
/interfaces/interface/state,interface.name=[super-channel-sch2],ifindex,False,False,IGNORE
/interfaces/interface/state,interface.name=[super-channel-sch2],admin-status,False,False,UP
/interfaces/interface/state,interface.name=[super-channel-sch2],oper-status,False,False,IOA
/interfaces/interface/state,interface.name=[super-channel-sch2],last-change,False,False,IGNORE
/interfaces/interface/state,interface.name=[super-channel-sch2],logical,False,False,true
/interfaces/interface/state,interface.name=[super-channel-sch2],hardware-port,False,False,super-channel-group-1-4-L2
/interfaces/interface/state,interface.name=[super-channel-sch2],transceiver,False,False,super-channel-group-1-4-L2
/interfaces/interface/state,interface.name=[super-channel-sch2],physical-channel,False,False,IGNORE
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-octets,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-unicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-broadcast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-multicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-discards,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-errors,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-unknown-protos,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],in-fcs-errors,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-octets,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-unicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-broadcast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-multicast-pkts,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-discards,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],out-errors,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],carrier-transitions,False,False,
/interfaces/interface/state/counters,interface.name=[super-channel-sch2],last-clear,False,False,
/interfaces/interface/ethernet/config,interface.name=[super-channel-sch2],mac-address,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[super-channel-sch2],auto-negotiate,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[super-channel-sch2],duplex-mode,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[super-channel-sch2],port-speed,False,True,IGNORE
/interfaces/interface/ethernet/config,interface.name=[super-channel-sch2],enable-flow-control,False,True,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],mac-address,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],auto-negotiate,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],duplex-mode,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],port-speed,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],enable-flow-control,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],hw-mac-address,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],negotiated-duplex-mode,False,False,IGNORE
/interfaces/interface/ethernet/state,interface.name=[super-channel-sch2],negotiated-port-speed,False,False,IGNORE
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-oversize-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-undersize-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-jabber-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-fragment-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-8021q-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-crc-errors,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],in-block-errors,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],out-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],out-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,interface.name=[super-channel-sch2],out-8021q-frames,False,False,
/interfaces/interface/hold-time/config,interface.name=[super-channel-sch2],up,False,True,
/interfaces/interface/hold-time/config,interface.name=[super-channel-sch2],down,False,True,
/interfaces/interface/hold-time/state,interface.name=[super-channel-sch2],up,False,False,
/interfaces/interface/hold-time/state,interface.name=[super-channel-sch2],down,False,False,
/interfaces/interface/subinterfaces/subinterface,,index,True,True,
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[super-channel-sch2],index,False,True,
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[super-channel-sch2],description,False,True,
/interfaces/interface/subinterfaces/subinterface/config,interface.name=[super-channel-sch2],enabled,False,True,True
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],index,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],description,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],enabled,False,False,True
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],name,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],ifindex,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],admin-status,False,False,False
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],oper-status,False,False,False
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],last-change,False,False,
/interfaces/interface/subinterfaces/subinterface/state,interface.name=[super-channel-sch2],logical,False,False,False
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-octets,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-unicast-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-broadcast-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-multicast-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-discards,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-errors,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-unknown-protos,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],in-fcs-errors,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],out-octets,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],out-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],out-unicast-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],out-broadcast-pkts,False,False,
/interfaces/interface/subinterfaces/subinterface/state/counters,interface.name=[super-channel-sch2],out-multicast-pkts,False,False,
