XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface/config,,name,False,True,
/interfaces/interface/config,,type,False,True,
/interfaces/interface/config,,mtu,False,True,
/interfaces/interface/config,,loopback-mode,False,True,False
/interfaces/interface/config,,description,False,True,
/interfaces/interface/config,,enabled,False,True,True
/interfaces/interface/ethernet/config,,mac-address,False,True,
/interfaces/interface/ethernet/config,,auto-negotiate,False,True,True
/interfaces/interface/ethernet/config,,duplex-mode,False,True,False
/interfaces/interface/ethernet/config,,port-speed,False,True,
/interfaces/interface/ethernet/config,,enable-flow-control,False,True,False
/interfaces/interface/hold-time/config,,up,False,True,
/interfaces/interface/hold-time/config,,down,False,True,
/interfaces/interface/subinterfaces/subinterface/config,,index,False,True,
/interfaces/interface/subinterfaces/subinterface/config,,description,False,True,
/interfaces/interface/subinterfaces/subinterface/config,,enabled,False,True,True
/interfaces/interface/ethernet/state/counters,,in-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-oversize-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-undersize-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-jabber-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-fragment-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-8021q-frames,False,False,
/interfaces/interface/ethernet/state/counters,,in-crc-errors,False,False,
/interfaces/interface/ethernet/state/counters,,in-block-errors,False,False,
/interfaces/interface/ethernet/state/counters,,out-mac-control-frames,False,False,
/interfaces/interface/ethernet/state/counters,,out-mac-pause-frames,False,False,
/interfaces/interface/ethernet/state/counters,,out-8021q-frames,False,False,
/interfaces/interface/state/counters,,in-octets,False,False,
/interfaces/interface/state/counters,,in-pkts,False,False,
/interfaces/interface/state/counters,,in-unicast-pkts,False,False,
/interfaces/interface/state/counters,,in-broadcast-pkts,False,False,
/interfaces/interface/state/counters,,in-multicast-pkts,False,False,
/interfaces/interface/state/counters,,in-discards,False,False,
/interfaces/interface/state/counters,,in-errors,False,False,
/interfaces/interface/state/counters,,in-unknown-protos,False,False,
/interfaces/interface/state/counters,,in-fcs-errors,False,False,
