XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/local-routes/static-routes/static,,prefix,True,True,IOA
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],prefix,False,True,IOA
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],set-tag,False,True,IGNORE
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],description,False,True,IGNORE
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],vrf,False,True,IOA
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],advertised,False,True,IOA
/local-routes/static-routes/static/config,static.prefix=[2.2.2.0||24],label,False,True,EMPTY
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],prefix,False,False,IOA
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],set-tag,False,False,IGNORE
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],description,False,False,IGNORE
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],vrf,False,False,IOA
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],advertised,False,False,IOA
/local-routes/static-routes/static/state,static.prefix=[2.2.2.0||24],label,False,False,EMPTY
/local-routes/static-routes/static/next-hops/next-hop,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",index,False,True,1
/local-routes/static-routes/static/next-hops/next-hop/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",index,False,True,1
/local-routes/static-routes/static/next-hops/next-hop/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",next-hop,False,True,IOA
/local-routes/static-routes/static/next-hops/next-hop/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",metric,False,True,IOA
/local-routes/static-routes/static/next-hops/next-hop/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",recurse,False,True,true
/local-routes/static-routes/static/next-hops/next-hop/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",index,False,False,1
/local-routes/static-routes/static/next-hops/next-hop/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",next-hop,False,False,IOA
/local-routes/static-routes/static/next-hops/next-hop/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",metric,False,False,IOA
/local-routes/static-routes/static/next-hops/next-hop/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",recurse,False,False,true
/local-routes/static-routes/static/next-hops/next-hop/interface-ref/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",interface,False,True,IGNORE
/local-routes/static-routes/static/next-hops/next-hop/interface-ref/config,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",subinterface,False,True,IGNORE
/local-routes/static-routes/static/next-hops/next-hop/interface-ref/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",interface,False,False,IGNORE
/local-routes/static-routes/static/next-hops/next-hop/interface-ref/state,"static.prefix=[2.2.2.0||24],
next-hop.index=[1]",subinterface,False,False,IGNORE
