XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/messages/config,,severity,False,True,
/messages/debug-entries/debug-service/config,,service,False,True,
/messages/debug-entries/debug-service/config,,enabled,False,True,False
/messages/debug-entries/debug-service,,service,True,True,
/messages/state/message,,msg,False,False,
/messages/state/message,,priority,False,False,
/messages/state/message,,app-name,False,False,
/messages/state/message,,procid,False,False,
/messages/state/message,,msgid,False,False,
/messages/debug-entries/debug-service/state,,service,False,False,
/messages/debug-entries/debug-service/state,,enabled,False,False,False
/messages/state,,severity,False,False,
/messages/debug-entries/debug-service/config,,service,False,True,
/messages/debug-entries/debug-service/config,,enabled,False,True,False
/messages/debug-entries/debug-service,,service,True,True,
/messages/state/message,,msg,False,False,
/messages/state/message,,priority,False,False,
/messages/state/message,,app-name,False,False,
/messages/state/message,,procid,False,False,
/messages/state/message,,msgid,False,False,
/messages/debug-entries/debug-service/state,,service,False,False,
/messages/debug-entries/debug-service/state,,enabled,False,False,False
/messages/state,,severity,False,False,
