XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,,name,1.0,1.0,chassis-1
/components/component/config,,name,0.0,1.0,chassis-1
/components/component/state,,name,0.0,0.0,chassis-1
/components/component/state,,type,0.0,0.0,CHASSIS
/components/component/state,,id,0.0,0.0,IGNORE
/components/component/state,,location,0.0,0.0,1
/components/component/state,,description,0.0,0.0,EMPTY
/components/component/state,,mfg-name,0.0,0.0,INFINERA
/components/component/state,,mfg-date,0.0,0.0,IGNORE
/components/component/state,,hardware-version,0.0,0.0,IGNORE
/components/component/state,,firmware-version,0.0,0.0,
/components/component/state,,software-version,0.0,0.0,
/components/component/state,,serial-no,0.0,0.0,IGNORE
/components/component/state,,part-no,0.0,0.0,IGNORE
/components/component/state,,removable,0.0,0.0,False
/components/component/state,,oper-status,0.0,0.0,IGNORE
/components/component/state,,empty,0.0,0.0,False
/components/component/state,,parent,0.0,0.0,
/components/component/state,,allocated-power,0.0,0.0,3120
/components/component/state,,used-power,0.0,0.0,IGNORE
/components/component/state,,equipment-failure,0.0,0.0,False
/components/component/state,,equipment-mismatch,0.0,0.0,False
/components/component/state/temperature,,instant,0.0,0.0,
/components/component/state/temperature,,avg,0.0,0.0,
/components/component/state/temperature,,min-,0.0,0.0,
/components/component/state/temperature,,max-,0.0,0.0,
/components/component/state/temperature,,interval,0.0,0.0,1000000000
/components/component/state/temperature,,min-time,0.0,0.0,
/components/component/state/temperature,,max-time,0.0,0.0,
/components/component/state/temperature,,alarm-status,0.0,0.0,False
/components/component/state/temperature,,alarm-threshold,0.0,0.0,
/components/component/state/temperature,,alarm-severity,0.0,0.0,
/components/component/state/memory,,available,0.0,0.0,
/components/component/state/memory,,utilized,0.0,0.0,
/components/component/properties/property,,name,1.0,1.0,PON
/components/component/properties/property/config,,name,0.0,1.0,PON
/components/component/properties/property/config,,value,0.0,1.0,G42
/components/component/properties/property/state,,name,0.0,0.0,PON
/components/component/properties/property/state,,value,0.0,0.0,G42
/components/component/properties/property/state,,configurable,0.0,0.0,false
/components/component/subcomponents/subcomponent,,name,1.0,1.0,slot-1-1
/components/component/subcomponents/subcomponent/config,,name,0.0,1.0,slot-1-1
/components/component/subcomponents/subcomponent/state,,name,0.0,0.0,slot-1-1
/components/component/port/breakout-mode/config,,num-channels,0.0,1.0,
/components/component/port/breakout-mode/config,,channel-speed,0.0,1.0,
/components/component/port/breakout-mode/state,,num-channels,0.0,0.0,
/components/component/port/breakout-mode/state,,channel-speed,0.0,0.0,
/components/component/power-supply/config,,enabled,0.0,1.0,True
/components/component/power-supply/state,,enabled,0.0,0.0,True
/components/component/power-supply/state,,capacity,0.0,0.0,
/components/component/power-supply/state,,input-current,0.0,0.0,
/components/component/power-supply/state,,input-voltage,0.0,0.0,
/components/component/power-supply/state,,output-current,0.0,0.0,
/components/component/power-supply/state,,output-voltage,0.0,0.0,
/components/component/power-supply/state,,output-power,0.0,0.0,
/components/component/transceiver/config,,enabled,0.0,1.0,False
/components/component/transceiver/config,,form-factor-preconf,0.0,1.0,
/components/component/transceiver/config,,ethernet-pmd-preconf,0.0,1.0,
/components/component/transceiver/config,,fec-mode,0.0,1.0,
/components/component/transceiver/state,,enabled,0.0,0.0,False
/components/component/transceiver/state,,form-factor-preconf,0.0,0.0,
