XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,component.name=[card-1-FAN-1],name,True,True,card-1-FAN-1
/components/component/config,component.name=[card-1-FAN-1],name,False,True,card-1-FAN-1
/components/component/state,component.name=[card-1-FAN-1],name,False,False,card-1-FAN-1
/components/component/state,component.name=[card-1-FAN-1],type,False,False,FAN
/components/component/state,component.name=[card-1-FAN-1],id,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],location,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],description,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],mfg-name,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],mfg-date,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],hardware-version,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],firmware-version,False,False,IGNORE
/components/component/state,component.name=[card-1-FAN-1],software-version,False,False,NO_MAP
/components/component/state,component.name=[card-1-FAN-1],serial-no,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],part-no,False,False,IGNORE
/components/component/state,component.name=[card-1-FAN-1],removable,False,False,true^false
/components/component/state,component.name=[card-1-FAN-1],oper-status,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],empty,False,False,true^false
/components/component/state,component.name=[card-1-FAN-1],parent,False,False,IGNORE
/components/component/state,component.name=[card-1-FAN-1],allocated-power,False,False,IOA
/components/component/state,component.name=[card-1-FAN-1],used-power,False,False,IGNORE
/components/component/state,component.name=[card-1-FAN-1],equipment-failure,False,False,true^false
/components/component/state,component.name=[card-1-FAN-1],equipment-mismatch,False,False,true^false
/components/component/state/temperature,component.name=[card-1-FAN-1],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-FAN-1],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-FAN-1],min,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-FAN-1],max,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-FAN-1],interval,False,False,1000000000
/components/component/state/temperature,component.name=[card-1-FAN-1],min-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-FAN-1],max-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-FAN-1],alarm-status,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-FAN-1],alarm-threshold,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-FAN-1],alarm-severity,False,False,IGNORE
/components/component/state/memory,component.name=[card-1-FAN-1],available,False,False,NO_MAP
/components/component/state/memory,component.name=[card-1-FAN-1],utilized,False,False,NO_MAP
/components/component/port/breakout-mode/config,component.name=[card-1-FAN-1],num-channels,False,True,IGNORE
/components/component/port/breakout-mode/config,component.name=[card-1-FAN-1],channel-speed,False,True,IGNORE
/components/component/port/breakout-mode/state,component.name=[card-1-FAN-1],num-channels,False,False,IGNORE
/components/component/port/breakout-mode/state,component.name=[card-1-FAN-1],channel-speed,False,False,IGNORE
/components/component/power-supply/config,component.name=[card-1-FAN-1],enabled,False,False,true^false
/components/component/power-supply/state,component.name=[card-1-FAN-1],enabled,False,False,true^false
/components/component/power-supply/state,component.name=[card-1-FAN-1],capacity,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-FAN-1],input-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-FAN-1],input-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-FAN-1],output-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-FAN-1],output-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-FAN-1],output-power,False,False,IGNORE
/components/component/transceiver/config,component.name=[card-1-FAN-1],enabled,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-FAN-1],form-factor-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-FAN-1],ethernet-pmd-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-FAN-1],fec-mode,False,True,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],enabled,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],form-factor-preconf,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],ethernet-pmd-preconf,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],fec-mode,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],present,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],form-factor,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],connector-type,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],vendor,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],vendor-part,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],vendor-rev,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],ethernet-pmd,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],sonet-sdh-compliance-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],otn-compliance-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],serial-no,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],date-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],fault-condition,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],fec-status,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-FAN-1],fec-uncorrectable-blocks,False,False,IGNORE
