XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,component.name=[card-1-2],name,True,True,card-1-2
/components/component/state,component.name=[card-1-2],name,False,False,card-1-2
/components/component/state,component.name=[card-1-2],type,False,False,FRU
/components/component/state,component.name=[card-1-2],id,False,False,IOA
/components/component/state,component.name=[card-1-2],location,False,False,IOA
/components/component/state,component.name=[card-1-2],description,False,False,IOA
/components/component/state,component.name=[card-1-2],mfg-name,False,False,IOA
/components/component/state,component.name=[card-1-2],mfg-date,False,False,IOA
/components/component/state,component.name=[card-1-2],hardware-version,False,False,IOA
/components/component/state,component.name=[card-1-2],firmware-version,False,False,IGNORE
/components/component/state,component.name=[card-1-2],software-version,False,False,NO_MAP
/components/component/state,component.name=[card-1-2],serial-no,False,False,IOA
/components/component/state,component.name=[card-1-2],part-no,False,False,IOA
/components/component/state,component.name=[card-1-2],removable,False,False,true^false
/components/component/state,component.name=[card-1-2],oper-status,False,False,ACTIVE
/components/component/state,component.name=[card-1-2],empty,False,False,false
/components/component/state,component.name=[card-1-2],parent,False,False,slot-1-2
/components/component/state,component.name=[card-1-2],allocated-power,False,False,26
/components/component/state,component.name=[card-1-2],used-power,False,False,IGNORE
/components/component/state,component.name=[card-1-2],equipment-failure,False,False,true^false
/components/component/state,component.name=[card-1-2],equipment-mismatch,False,False,true^false
/components/component/state/temperature,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-2],min,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-2],max,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-2],interval,False,False,1000000000
/components/component/state/temperature,component.name=[card-1-2],min-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-2],max-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-2],alarm-status,False,False,IGNORE
/components/component/state/temperature,component.name=[card-1-2],alarm-threshold,False,False,NO_MAP
/components/component/state/temperature,component.name=[card-1-2],alarm-severity,False,False,IGNORE
/components/component/state/memory,component.name=[card-1-2],available,False,False,NO_MAP
/components/component/state/memory,component.name=[card-1-2],utilized,False,False,NO_MAP
/components/component/port/breakout-mode/config,component.name=[card-1-2],num-channels,False,True,IGNORE
/components/component/port/breakout-mode/config,component.name=[card-1-2],channel-speed,False,True,IGNORE
/components/component/port/breakout-mode/state,component.name=[card-1-2],num-channels,False,False,IGNORE
/components/component/port/breakout-mode/state,component.name=[card-1-2],channel-speed,False,False,IGNORE
/components/component/power-supply/config,component.name=[card-1-2],enabled,False,False,true^false
/components/component/power-supply/state,component.name=[card-1-2],enabled,False,False,true^false
/components/component/power-supply/state,component.name=[card-1-2],capacity,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-2],input-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-2],input-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-2],output-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-2],output-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[card-1-2],output-power,False,False,IGNORE
/components/component/transceiver/config,component.name=[card-1-2],enabled,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-2],form-factor-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-2],ethernet-pmd-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[card-1-2],fec-mode,False,True,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],enabled,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],form-factor-preconf,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],ethernet-pmd-preconf,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-mode,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],present,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],form-factor,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],connector-type,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],vendor,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],vendor-part,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],vendor-rev,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],ethernet-pmd,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],sonet-sdh-compliance-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],otn-compliance-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],serial-no,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],date-code,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fault-condition,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-status,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-uncorrectable-blocks,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-uncorrectable-words,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-corrected-bytes,False,False,IGNORE
/components/component/transceiver/state,component.name=[card-1-2],fec-corrected-bits,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/state/pre-fec-ber,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/state/post-fec-ber,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/state/output-power,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/state/input-power,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/state/laser-bias-current,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel,,index,True,True,IGNORE
/components/component/transceiver/physical-channels/channel/config,component.name=[card-1-2],index,False,True,IGNORE
/components/component/transceiver/physical-channels/channel/config,component.name=[card-1-2],description,False,True,IGNORE
/components/component/transceiver/physical-channels/channel/config,component.name=[card-1-2],tx-laser,False,True,IGNORE
/components/component/transceiver/physical-channels/channel/config,component.name=[card-1-2],target-output-power,False,True,IGNORE
/components/component/transceiver/physical-channels/channel/state,component.name=[card-1-2],index,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state,component.name=[card-1-2],description,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state,component.name=[card-1-2],tx-laser,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state,component.name=[card-1-2],target-output-power,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state,component.name=[card-1-2],output-frequency,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/input-power,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/laser-bias-current,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/transceiver/physical-channels/channel/state/output-power,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/optical-channel/config,component.name=[card-1-2],frequency,False,True,IGNORE
/components/component/optical-channel/config,component.name=[card-1-2],target-output-power,False,True,IGNORE
/components/component/optical-channel/config,component.name=[card-1-2],operational-mode,False,True,IGNORE
/components/component/optical-channel/config,component.name=[card-1-2],line-port,False,True,IGNORE
/components/component/optical-channel/state,component.name=[card-1-2],frequency,False,False,IGNORE
/components/component/optical-channel/state,component.name=[card-1-2],target-output-power,False,False,IGNORE
/components/component/optical-channel/state,component.name=[card-1-2],operational-mode,False,False,IGNORE
/components/component/optical-channel/state,component.name=[card-1-2],line-port,False,False,IGNORE
/components/component/optical-channel/state,component.name=[card-1-2],group-id,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],instant,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],avg,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],min-,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],max-,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],interval,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],min-time,False,False,IGNORE
/components/component/optical-channel/state/chromatic-dispersion,component.name=[card-1-2],max-time,False,False,IGNORE
/components/component/optical-channel/state/input-power,component.name=[card-1-2],instant,False,False,IGNORE
