XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,,name,True,True,port-1-3-AUX-2
/components/component/state,component.name=[port-1-3-AUX-2],name,False,False,port-1-3-AUX-2
/components/component/state,component.name=[port-1-3-AUX-2],type,False,False,PORT
/components/component/state,component.name=[port-1-3-AUX-2],id,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],location,False,False,IOA
/components/component/state,component.name=[port-1-3-AUX-2],description,False,False,IOA
/components/component/state,component.name=[port-1-3-AUX-2],mfg-name,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],mfg-date,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],hardware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],firmware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],software-version,False,False,NO_MAP
/components/component/state,component.name=[port-1-3-AUX-2],serial-no,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],part-no,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],removable,False,False,true^false
/components/component/state,component.name=[port-1-3-AUX-2],oper-status,False,False,IOA
/components/component/state,component.name=[port-1-3-AUX-2],empty,False,False,false
/components/component/state,component.name=[port-1-3-AUX-2],parent,False,False,card-1-3
/components/component/state,component.name=[port-1-3-AUX-2],allocated-power,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],used-power,False,False,IGNORE
/components/component/state,component.name=[port-1-3-AUX-2],equipment-failure,False,False,true^false
/components/component/state,component.name=[port-1-3-AUX-2],equipment-mismatch,False,False,true^false
/components/component/state/temperature,component.name=[port-1-3-AUX-2],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-3-AUX-2],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-3-AUX-2],min,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-3-AUX-2],max,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-3-AUX-2],interval,False,False,1000000000
/components/component/state/temperature,component.name=[port-1-3-AUX-2],min-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-3-AUX-2],max-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-3-AUX-2],alarm-status,False,False,true^false
/components/component/state/temperature,component.name=[port-1-3-AUX-2],alarm-threshold,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-3-AUX-2],alarm-severity,False,False,critical^major^minor^warning^UNKNOWN
/components/component/state/memory,component.name=[port-1-3-AUX-2],available,False,False,NO_MAP
/components/component/state/memory,component.name=[port-1-3-AUX-2],utilized,False,False,NO_MAP
/components/component/port/breakout-mode/config,component.name=[port-1-3-AUX-2],num-channels,False,True,IGNORE
/components/component/port/breakout-mode/config,component.name=[port-1-3-AUX-2],channel-speed,False,True,IGNORE
/components/component/port/breakout-mode/state,component.name=[port-1-3-AUX-2],num-channels,False,False,IGNORE
/components/component/port/breakout-mode/state,component.name=[port-1-3-AUX-2],channel-speed,False,False,IGNORE
/components/component/power-supply/config,component.name=[port-1-3-AUX-2],enabled,False,True,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],enabled,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],capacity,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],input-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],input-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],output-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],output-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-3-AUX-2],output-power,False,False,IGNORE
/components/component/transceiver/config,component.name=[port-1-3-AUX-2],enabled,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-3-AUX-2],form-factor-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-3-AUX-2],ethernet-pmd-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-3-AUX-2],fec-mode,False,True,IGNORE
/components/component/transceiver/state,component.name=[port-1-3-AUX-2],enabled,False,False,IGNORE
