XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,,name,True,True,port-1-1-AUX-1
/components/component/state,component.name=[port-1-1-AUX-1],name,False,False,port-1-1-AUX-1
/components/component/state,component.name=[port-1-1-AUX-1],type,False,False,PORT
/components/component/state,component.name=[port-1-1-AUX-1],id,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],location,False,False,IOA
/components/component/state,component.name=[port-1-1-AUX-1],description,False,False,IOA
/components/component/state,component.name=[port-1-1-AUX-1],mfg-name,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],mfg-date,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],hardware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],firmware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],software-version,False,False,NO_MAP
/components/component/state,component.name=[port-1-1-AUX-1],serial-no,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],part-no,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],removable,False,False,true^false
/components/component/state,component.name=[port-1-1-AUX-1],oper-status,False,False,IOA
/components/component/state,component.name=[port-1-1-AUX-1],empty,False,False,false
/components/component/state,component.name=[port-1-1-AUX-1],parent,False,False,card-1-3
/components/component/state,component.name=[port-1-1-AUX-1],allocated-power,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],used-power,False,False,IGNORE
/components/component/state,component.name=[port-1-1-AUX-1],equipment-failure,False,False,true^false
/components/component/state,component.name=[port-1-1-AUX-1],equipment-mismatch,False,False,true^false
/components/component/state/temperature,component.name=[port-1-1-AUX-1],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-AUX-1],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-AUX-1],min,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-AUX-1],max,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-AUX-1],interval,False,False,1000000000
/components/component/state/temperature,component.name=[port-1-1-AUX-1],min-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-1-AUX-1],max-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-1-AUX-1],alarm-status,False,False,true^false
/components/component/state/temperature,component.name=[port-1-1-AUX-1],alarm-threshold,False,False,NO_MAP
/components/component/state/temperature,component.name=[port-1-1-AUX-1],alarm-severity,False,False,critical^major^minor^warning^UNKNOWN
/components/component/state/memory,component.name=[port-1-1-AUX-1],available,False,False,NO_MAP
/components/component/state/memory,component.name=[port-1-1-AUX-1],utilized,False,False,NO_MAP
/components/component/port/breakout-mode/config,component.name=[port-1-1-AUX-1],num-channels,False,True,IGNORE
/components/component/port/breakout-mode/config,component.name=[port-1-1-AUX-1],channel-speed,False,True,IGNORE
/components/component/port/breakout-mode/state,component.name=[port-1-1-AUX-1],num-channels,False,False,IGNORE
/components/component/port/breakout-mode/state,component.name=[port-1-1-AUX-1],channel-speed,False,False,IGNORE
/components/component/power-supply/config,component.name=[port-1-1-AUX-1],enabled,False,True,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],enabled,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],capacity,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],input-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],input-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],output-current,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],output-voltage,False,False,IGNORE
/components/component/power-supply/state,component.name=[port-1-1-AUX-1],output-power,False,False,IGNORE
/components/component/transceiver/config,component.name=[port-1-1-AUX-1],enabled,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-1-AUX-1],form-factor-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-1-AUX-1],ethernet-pmd-preconf,False,True,IGNORE
/components/component/transceiver/config,component.name=[port-1-1-AUX-1],fec-mode,False,True,IGNORE
/components/component/transceiver/state,component.name=[port-1-1-AUX-1],enabled,False,False,IGNORE
/components/component/transceiver/state,component.name=[port-1-1-AUX-1],form-factor-preconf,False,False,IGNORE
