XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,,name,True,True,port-1-1-CRAFT
/components/component/state,component.name=[port-1-1-CRAFT],name,False,False,port-1-1-CRAFT
/components/component/state,component.name=[port-1-1-CRAFT],type,False,False,PORT
/components/component/state,component.name=[port-1-1-CRAFT],id,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],location,False,False,IOA
/components/component/state,component.name=[port-1-1-CRAFT],description,False,False,IOA
/components/component/state,component.name=[port-1-1-CRAFT],mfg-name,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],mfg-date,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],hardware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],firmware-version,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],software-version,False,False,NO_MAP
/components/component/state,component.name=[port-1-1-CRAFT],serial-no,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],part-no,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],removable,False,False,true^false
/components/component/state,component.name=[port-1-1-CRAFT],oper-status,False,False,IOA
/components/component/state,component.name=[port-1-1-CRAFT],empty,False,False,false
/components/component/state,component.name=[port-1-1-CRAFT],parent,False,False,card-1-3
/components/component/state,component.name=[port-1-1-CRAFT],allocated-power,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],used-power,False,False,IGNORE
/components/component/state,component.name=[port-1-1-CRAFT],equipment-failure,False,False,true^false
/components/component/state,component.name=[port-1-1-CRAFT],equipment-mismatch,False,False,true^false
/components/component/state/temperature,component.name=[port-1-1-CRAFT],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-CRAFT],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-CRAFT],min,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-CRAFT],max,False,False,IGNORE
/components/component/state/temperature,component.name=[port-1-1-CRAFT],interval,False,False,1000000000
/components/component/state/temperature,component.name=[port-1-1-CRAFT],min-time,False,False,NO_MAP
