XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/components/component,component.name=[super-channel-sch2],name,True,True,super-channel-sch2
/components/component/config,component.name=[super-channel-sch2],name,False,True,super-channel-sch2
/components/component/state,component.name=[super-channel-sch2],name,False,False,super-channel-sch2
/components/component/state,component.name=[super-channel-sch2],type,False,False,OPTICAL_CHANNEL
/components/component/state,component.name=[super-channel-sch2],id,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],location,False,False,IOA
/components/component/state,component.name=[super-channel-sch2],description,False,False,IOA
/components/component/state,component.name=[super-channel-sch2],mfg-name,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],mfg-date,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],hardware-version,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],firmware-version,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],software-version,False,False,NO_MAP
/components/component/state,component.name=[super-channel-sch2],serial-no,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],part-no,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],removable,False,False,true^false
/components/component/state,component.name=[super-channel-sch2],oper-status,False,False,IOA
/components/component/state,component.name=[super-channel-sch2],empty,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],parent,False,False,super-channel-group-1-4-L1
/components/component/state,component.name=[super-channel-sch2],allocated-power,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],used-power,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],equipment-failure,False,False,IGNORE
/components/component/state,component.name=[super-channel-sch2],equipment-mismatch,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],instant,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],avg,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],min,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],max,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],interval,False,False,1000000000
/components/component/state/temperature,component.name=[super-channel-sch2],min-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[super-channel-sch2],max-time,False,False,NO_MAP
/components/component/state/temperature,component.name=[super-channel-sch2],alarm-status,False,False,IGNORE
/components/component/state/temperature,component.name=[super-channel-sch2],alarm-threshold,False,False,NO_MAP
/components/component/state/temperature,component.name=[super-channel-sch2],alarm-severity,False,False,IGNORE
/components/component/state/memory,component.name=[super-channel-sch2],available,False,False,NO_MAP
/components/component/state/memory,component.name=[super-channel-sch2],utilized,False,False,NO_MAP
/components/component/port/breakout-mode/config,component.name=[super-channel-sch2],num-channels,False,True,IGNORE
/components/component/port/breakout-mode/config,component.name=[super-channel-sch2],channel-speed,False,True,IGNORE
/components/component/port/breakout-mode/state,component.name=[super-channel-sch2],num-channels,False,False,IGNORE
/components/component/port/breakout-mode/state,component.name=[super-channel-sch2],channel-speed,False,False,IGNORE
/components/component/power-supply/config,component.name=[super-channel-sch2],enabled,False,True,IGNORE
