XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,comm-channel-1-4-L1-1
/interfaces/interface/subinterfaces/subinterface,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",index,True,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",index,False,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",description,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",index,False,False,1
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",description,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",name,False,False,comm-channel-1-4-L1-1
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",admin-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",oper-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",logical,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",ip,True,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",ip,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",prefix-length,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",ip,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",prefix-length,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",origin,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",mtu,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",dhcp-client,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",mtu,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",dhcp-client,False,False,false
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",mtu,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",dhcp-client,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",mtu,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[comm-channel-1-4-L1-1],
subinterface.index=[1]",dhcp-client,False,False,false
