XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,AUX-1-1-AUX-2
/interfaces/interface/subinterfaces/subinterface,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",index,True,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",index,False,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",description,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",index,False,False,1
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",description,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",name,False,False,AUX-1-1-AUX-2
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",admin-status,False,False,UP
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",oper-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",logical,False,False,false
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",ip,True,True,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1],
address.ip=[3001:0db8:85a3:0000:0000:8a2e:0370:7334]",ip,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1],
address.ip=[3001:0db8:85a3:0000:0000:8a2e:0370:7334]",prefix-length,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1],
address.ip=[3001:0db8:85a3:0000:0000:8a2e:0370:7334]",ip,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1],
address.ip=[3001:0db8:85a3:0000:0000:8a2e:0370:7334]",prefix-length,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1],
address.ip=[3001:0db8:85a3:0000:0000:8a2e:0370:7334]",origin,False,False,STATIC
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",mtu,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",dhcp-client,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",mtu,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[AUX-1-1-AUX-2],
subinterface.index=[1]",dhcp-client,False,False,false
