XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,CRAFT-1-3-CRAFT
/interfaces/interface/subinterfaces/subinterface,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",index,True,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",index,False,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",description,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",index,False,False,1
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",description,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",name,False,False,CRAFT-1-3-CRAFT
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",admin-status,False,False,UP
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",oper-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",logical,False,False,false
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",ip,True,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",ip,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",prefix-length,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",ip,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",prefix-length,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/addresses/address/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",origin,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",enabled,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",mtu,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv6/config,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",dhcp-client,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",enabled,False,False,false
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",mtu,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/ipv6/state,"interface.name=[CRAFT-1-3-CRAFT],
subinterface.index=[1]",dhcp-client,False,False,false
