XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/config,,hostname,False,True,
/system/config,,domain-name,False,True,
/system/config,,login-banner,False,True,
/system/config,,motd-banner,False,True,
/system/config,,hostname,False,True,
/system/config,,domain-name,False,True,
/system/config,,login-banner,False,True,
/system/config,,motd-banner,False,True,
/system/state,,hostname,False,False,
/system/state,,domain-name,False,False,
/system/state,,login-banner,False,False,
/system/state,,motd-banner,False,False,
/system/state,,current-datetime,False,False,
/system/state,,boot-time,False,False,
/system/state,,hostname,False,False,
/system/state,,domain-name,False,False,
/system/state,,login-banner,False,False,
/system/state,,motd-banner,False,False,
/system/state,,current-datetime,False,False,
/system/state,,boot-time,False,False,
/system/clock/config,,timezone-name,False,True,
/system/clock/config,,timezone-name,False,True,
/system/clock/state,,timezone-name,False,False,
/system/clock/state,,timezone-name,False,False,
/system/dns/config,,search,False,True,
/system/dns/config,,search,False,True,
/system/dns/state,,search,False,False,
/system/dns/state,,search,False,False,
/system/dns/host-entries/host-entry,,hostname,True,True,
/system/dns/host-entries/host-entry,,hostname,True,True,
/system/dns/host-entries/host-entry/config,,hostname,False,True,
/system/dns/host-entries/host-entry/config,,alias,False,True,
/system/dns/host-entries/host-entry/config,,ipv4-address,False,True,
/system/dns/host-entries/host-entry/config,,ipv6-address,False,True,
/system/dns/host-entries/host-entry/config,,hostname,False,True,
/system/dns/host-entries/host-entry/config,,alias,False,True,
/system/dns/host-entries/host-entry/config,,ipv4-address,False,True,
/system/dns/host-entries/host-entry/config,,ipv6-address,False,True,
/system/dns/host-entries/host-entry/state,,hostname,False,False,
/system/dns/host-entries/host-entry/state,,alias,False,False,
/system/dns/host-entries/host-entry/state,,ipv4-address,False,False,
/system/dns/host-entries/host-entry/state,,ipv6-address,False,False,
/system/dns/host-entries/host-entry/state,,hostname,False,False,
/system/dns/host-entries/host-entry/state,,alias,False,False,
/system/dns/host-entries/host-entry/state,,ipv4-address,False,False,
/system/dns/host-entries/host-entry/state,,ipv6-address,False,False,
/system/dns/servers/server,,address,True,True,
/system/dns/servers/server,,address,True,True,
/system/dns/servers/server/config,,address,False,True,
/system/dns/servers/server/config,,port,False,True,
/system/dns/servers/server/config,,address,False,True,
/system/dns/servers/server/config,,port,False,True,
/system/dns/servers/server/state,,address,False,False,
/system/dns/servers/server/state,,port,False,False,
/system/dns/servers/server/state,,address,False,False,
/system/dns/servers/server/state,,port,False,False,
/system/ntp/config,,enabled,False,True,False
/system/ntp/config,,ntp-source-address,False,True,
/system/ntp/config,,enable-ntp-auth,False,True,False
