XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/cpus/cpu,,index,True,False,IGNORE
/system/cpus/cpu/state,cpu.index=[ALL],index,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],instant,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],avg,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],min,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],max,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],interval,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],min-time,False,False,IGNORE
/system/cpus/cpu/state/total,cpu.index=[ALL],max-time,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,instant,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,avg,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,min,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,max,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,interval,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,min-time,False,False,IGNORE
/system/cpus/cpu/state/hardware-interrupt,,max-time,False,False,IGNORE
/system/cpus/cpu/state/idle,,instant,False,False,IGNORE
/system/cpus/cpu/state/idle,,avg,False,False,IGNORE
/system/cpus/cpu/state/idle,,min,False,False,IGNORE
/system/cpus/cpu/state/idle,,max,False,False,IGNORE
/system/cpus/cpu/state/idle,,interval,False,False,IGNORE
/system/cpus/cpu/state/idle,,min-time,False,False,IGNORE
/system/cpus/cpu/state/idle,,max-time,False,False,IGNORE
/system/cpus/cpu/state/kernel,,instant,False,False,IGNORE
/system/cpus/cpu/state/kernel,,avg,False,False,IGNORE
/system/cpus/cpu/state/kernel,,min,False,False,IGNORE
/system/cpus/cpu/state/kernel,,max,False,False,IGNORE
/system/cpus/cpu/state/kernel,,interval,False,False,IGNORE
/system/cpus/cpu/state/kernel,,min-time,False,False,IGNORE
/system/cpus/cpu/state/kernel,,max-time,False,False,IGNORE
/system/cpus/cpu/state/nice,,instant,False,False,IGNORE
/system/cpus/cpu/state/nice,,avg,False,False,IGNORE
/system/cpus/cpu/state/nice,,min,False,False,IGNORE
/system/cpus/cpu/state/nice,,max,False,False,IGNORE
/system/cpus/cpu/state/nice,,interval,False,False,IGNORE
/system/cpus/cpu/state/nice,,min-time,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,instant,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,avg,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,min,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,max,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,interval,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,min-time,False,False,IGNORE
/system/cpus/cpu/state/software-interrupt,,max-time,False,False,IGNORE
/system/cpus/cpu/state/user,,instant,False,False,IGNORE
/system/cpus/cpu/state/user,,avg,False,False,IGNORE
/system/cpus/cpu/state/user,,min,False,False,IGNORE
/system/cpus/cpu/state/user,,max,False,False,IGNORE
/system/cpus/cpu/state/user,,interval,False,False,IGNORE
/system/cpus/cpu/state/user,,min-time,False,False,IGNORE
/system/cpus/cpu/state/user,,max-time,False,False,IGNORE
/system/cpus/cpu/state/user,,max-time,False,False,IGNORE
/system/cpus/cpu/state/wait,,instant,False,False,IGNORE
/system/cpus/cpu/state/wait,,avg,False,False,IGNORE
/system/cpus/cpu/state/wait,,min,False,False,IGNORE
/system/cpus/cpu/state/wait,,max,False,False,IGNORE
/system/memory/state,,physical,False,False,IGNORE
/system/memory/state,,reserved,False,False,IGNORE
