XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/aaa/server-groups/server-group,,name,True,True,RADIUS
/system/aaa/server-groups/server-group/config,server-group.name=[RADIUS],name,False,True,RADIUS
/system/aaa/server-groups/server-group/config,server-group.name=[RADIUS],type,False,True,RADIUS
/system/aaa/server-groups/server-group/state,server-group.name=[RADIUS],name,False,False,RADIUS
/system/aaa/server-groups/server-group/state,server-group.name=[RADIUS],type,False,False,RADIUS
/system/aaa/server-groups/server-group/servers/server,server-group.name=[RADIUS],address,True,True,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",address,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",name,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",timeout,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",server-priority,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",name,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",address,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",timeout,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",server-priority,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",connection-opens,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",connection-closes,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",connection-aborts,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",connection-failures,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",connection-timeouts,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",messages-sent,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",messages-received,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",errors-received,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",auth-port,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/radius/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",acct-port,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/radius/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",secret-key,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/radius/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",source-address,False,True,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/config,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",retransmit-attempts,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/radius/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",auth-port,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/radius/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",acct-port,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/radius/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",secret-key,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/radius/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",source-address,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/state,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",retransmit-attempts,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/radius/state/counters,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",retried-access-requests,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/state/counters,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",access-accepts,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/state/counters,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",access-rejects,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/radius/state/counters,"server-group.name=[RADIUS],
server.address=[1.1.1.1]",timeout-access-requests,False,False,IGNORE
