XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/aaa/server-groups/server-group,,name,True,True,TACACSPLUS
/system/aaa/server-groups/server-group/config,server-group.name=[TACACSPLUS],name,False,False,TACACSPLUS
/system/aaa/server-groups/server-group/config,server-group.name=[TACACSPLUS],type,False,False,TACACS
/system/aaa/server-groups/server-group/state,server-group.name=[TACACSPLUS],name,False,False,TACACSPLUS
/system/aaa/server-groups/server-group/state,server-group.name=[TACACSPLUS],type,False,False,TACACS
/system/aaa/server-groups/server-group/servers/server,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",address,True,True,1.1.1.1
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",address,False,True,1.1.1.1
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",name,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",timeout,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",infinera-openconfig-extensions:server-priority,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",name,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",address,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",timeout,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",server-priority,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",connection-opens,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",connection-closes,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",connection-aborts,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",connection-failures,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",connection-timeouts,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",messages-sent,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",messages-received,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",errors-received,False,False,IGNORE
/system/aaa/server-groups/server-group/servers/server/tacacs/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",port,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/tacacs/config,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",secret-key,False,True,IOA
/system/aaa/server-groups/server-group/servers/server/tacacs/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",port,False,False,IOA
/system/aaa/server-groups/server-group/servers/server/tacacs/state,"server-group.name=[TACACSPLUS],
server.address=[1.1.1.1]",secret-key,False,False,IOA
