XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/system/dns/servers/server,server.address=[1.1.1.1],address,True,True,1.1.1.1
/system/dns/servers/server/config,server.address=[1.1.1.1],address,False,True,1.1.1.1
/system/dns/servers/server/config,server.address=[1.1.1.1],port,False,True,IGNORE
/system/dns/servers/server/state,server.address=[1.1.1.1],address,False,False,1.1.1.1
/system/dns/servers/server/state,server.address=[1.1.1.1],port,False,False,IGNORE
/system/dns/config,,search,False,True,IOA
/system/dns/state,,search,False,False,IOA
/system/dns/host-entries/host-entry,,hostname,True,True,IGNORE
/system/dns/host-entries/host-entry/config,,hostname,False,True,IGNORE
/system/dns/host-entries/host-entry/config,,alias,False,True,IGNORE
/system/dns/host-entries/host-entry/config,,ipv4-address,False,True,IGNORE
/system/dns/host-entries/host-entry/config,,ipv6-address,False,True,IGNORE
/system/dns/host-entries/host-entry/state,,hostname,False,False,IGNORE
/system/dns/host-entries/host-entry/state,,alias,False,False,IGNORE
/system/dns/host-entries/host-entry/state,,ipv4-address,False,False,IGNORE
/system/dns/host-entries/host-entry/state,,ipv6-address,False,False,IGNORE
